car,move
W,-1
K,1
J,1
D,1
V,-1
K,-1
H,-1
W,1
T,-1
B,1
T,1
Q,1
W,-1
V,1
M,1
I,-1
Y,-1
B,-1
V,1
P,1
H,1
I,1
Q,-1
B,1
Q,1
G,1
H,-1
B,-1
I,-1
B,1
P,-1
H,1
I,1
H,-1
K,1
P,1
B,-1
H,1
K,-1
C,-1
I,-1
D,-1
P,-1
Y,1
V,-1
Y,-1
I,1
V,-1
U,1
M,-1
J,-1
U,-1
V,1
H,-1
Q,-1
J,1
Y,1
W,1
J,-1
H,1
I,-1
Q,1
I,1
U,1
J,1
K,1
Q,-1
K,-1
M,1
V,1
P,1
O,1
K,1
O,-1
H,1
Q,1
W,-1
H,1
U,-1
N,-1
O,-1
H,1
P,-1
O,1
N,1
M,-1
Y,-1
D,1
V,-1
U,1
N,-1
V,-1
U,1
N,-1
Q,-1
D,-1
N,1
Y,1
N,-1
Q,1
M,-1
Y,-1
D,1
O,-1
K,1
D,-1
Y,1
J,-1
K,-1
U,-1
Y,-1
U,1
O,-1
X,1
X,1
X,1
Y,1
P,-1
O,-1
P,1
W,1
U,-1
K,1
O,1
Q,-1
L,-1
Q,1
V,-1
Q,-1
S,1
M,1
W,-1
T,-1
W,-1
K,1
X,1
T,-1
O,1
X,1
X,1
K,-1
S,-1
V,1
V,1
X,1
