car,move
N,-1
T,-1
S,-1
U,-1
P,1
K,1
S,-1
A,1
K,-1
K,1
M,1
M,-1
N,1
M,-1
M,1
X,1
S,1
I,1
I,-1
G,1
G,-1
X,-1
S,-1
S,1
K,-1
A,-1
H,1
X,1
I,1
H,-1
B,1
P,-1
S,-1
G,1
S,1
A,-1
P,1
A,1
S,-1
S,1
H,1
A,-1
A,1
A,-1
M,1
F,-1
S,-1
S,1
F,1
M,-1
S,-1
M,-1
S,-1
H,-1
K,-1
F,-1
M,1
I,1
I,-1
E,1
K,1
I,1
H,1
E,-1
B,1
H,-1
S,1
K,1
B,-1
G,-1
B,1
M,1
G,-1
S,1
B,-1
M,-1
M,1
I,-1
M,-1
I,1
E,-1
S,-1
G,-1
K,-1
P,-1
U,1
M,1
D,1
D,1
C,-1
U,-1
S,1
S,1
P,1
K,1
H,-1
H,1
K,-1
M,-1
C,-1
K,-1
K,1
H,-1
H,-1
S,-1
C,1
S,1
C,-1
S,-1
H,1
P,-1
C,1
S,-1
M,-1
P,1
H,-1
H,1
H,1
H,-1
H,-1
H,1
K,1
H,1
C,-1
D,1
H,-1
C,1
H,1
H,-1
C,-1
D,-1
M,1
K,-1
P,-1
S,1
H,1
H,-1
C,1
P,1
H,1
K,1
C,1
C,-1
D,1
C,-1
S,1
M,1
D,1
G,1
D,1
D,-1
G,-1
S,-1
G,1
H,-1
G,1
H,-1
S,1
E,1
B,1
D,1
H,1
H,-1
G,1
S,-1
J,-1
G,-1
S,1
H,1
S,-1
H,1
C,1
J,1
S,-1
G,1
D,-1
H,-1
S,-1
S,-1
E,1
E,-1
D,1
F,1
A,1
A,1
C,-1
D,-1
C,1
S,1
A,1
S,1
H,-1
C,-1
H,1
S,1
H,-1
A,-1
H,1
S,1
B,-1
G,-1
H,-1
I,-1
I,1
B,1
H,1
A,1
G,1
D,1
G,-1
H,1
B,-1
I,-1
D,-1
A,1
C,1
F,-1
S,-1
E,1
S,1
E,-1
B,-1
G,-1
C,-1
I,-1
G,1
X,-1
C,1
C,1
E,1
A,1
N,-1
A,-1
G,1
D,1
E,1
C,-1
N,-1
D,-1
H,-1
C,-1
H,-1
A,1
S,-1
L,1
A,-1
G,1
Q,-1
G,-1
D,1
D,-1
R,-1
G,1
N,-1
E,1
S,1
N,1
T,-1
E,-1
D,-1
C,1
D,1
U,-1
D,1
G,-1
H,1
Q,-1
U,1
H,-1
Q,1
T,1
G,1
A,1
A,-1
O,1
N,-1
A,1
A,-1
D,-1
D,1
N,1
N,-1
D,-1
C,-1
G,-1
S,-1
L,1
D,1
S,1
S,-1
A,1
L,-1
N,1
S,1
Q,-1
L,1
N,-1
A,-1
N,-1
N,-1
L,-1
J,1
Q,1
Q,-1
N,1
C,1
H,1
D,-1
D,1
N,1
N,-1
Q,1
X,1
X,1
I,1
S,-1
I,-1
H,1
N,-1
I,1
A,1
A,-1
X,1
I,-1
H,-1
H,1
C,-1
N,1
H,-1
N,1
H,1
D,-1
I,1
I,1
N,1
H,-1
S,1
C,1
A,1
I,-1
A,1
S,-1
A,-1
B,1
S,1
H,-1
B,-1
D,1
D,-1
D,1
N,-1
N,-1
G,1
E,1
B,1
I,1
X,1
F,1
A,-1
N,1
A,-1
N,1
X,1
N,-1
N,1
J,-1
A,1
S,-1
S,1
A,1
B,-1
B,1
F,-1
O,-1
X,1
X,1
