car,move
Q,1
V,-1
K,1
W,-1
I,-1
G,1
V,1
J,1
U,1
J,-1
H,-1
C,-1
M,1
J,1
Y,-1
Q,-1
K,-1
M,-1
T,-1
K,1
I,1
H,1
I,-1
Y,1
T,1
Q,1
V,1
D,1
W,1
I,1
B,1
P,1
W,-1
Q,-1
Y,-1
B,-1
O,1
I,-1
D,-1
J,1
C,1
J,-1
H,-1
G,-1
I,1
M,1
Z,-1
H,1
M,-1
H,1
H,1
Y,1
H,1
M,1
Q,1
Y,-1
Z,1
O,-1
Q,-1
Y,1
J,-1
Y,-1
U,-1
Q,1
N,-1
M,-1
M,-1
X,1
Q,-1
O,-1
X,-1
J,1
K,1
Q,1
X,1
O,-1
J,1
H,-1
W,-1
U,1
L,-1
L,-1
P,-1
V,-1
Q,-1
T,-1
U,-1
V,-1
L,1
U,1
G,1
T,1
J,-1
T,-1
C,-1
H,1
Y,1
J,-1
N,-1
U,-1
V,-1
T,1
O,1
J,1
X,1
T,-1
J,-1
S,1
U,1
X,-1
K,1
X,1
X,1
W,1
X,1
W,-1
X,1
U,-1
X,1
K,-1
S,-1
V,1
V,1
X,1
