car,move
J,1
AL,-1
AB,-1
AF,-1
AH,1
J,1
AN,-1
AG,1
P,1
J,1
AD,1
AJ,-1
L,1
AM,1
H,1
AL,1
AA,-1
H,-1
AP,-1
H,1
AO,1
L,-1
J,-1
AA,1
AA,1
AD,-1
H,-1
AL,1
P,-1
AL,-1
J,1
AL,1
AH,-1
AC,-1
AA,-1
P,1
H,1
G,-1
AC,-1
AA,1
F,1
H,-1
AC,1
AO,-1
J,-1
AP,1
AC,1
E,1
J,1
L,1
E,-1
AH,1
AJ,1
F,-1
AE,-1
K,1
AL,-1
AA,-1
G,1
AL,1
K,-1
AE,1
AC,-1
AK,-1
AH,-1
AG,-1
AJ,-1
AG,1
AA,1
AJ,1
K,1
AH,1
AE,-1
K,-1
G,-1
AR,-1
F,1
AR,1
AJ,-1
AA,-1
AK,1
H,1
AG,-1
AC,1
AQ,-1
L,-1
P,-1
AB,1
P,1
L,1
P,-1
AP,-1
F,-1
G,1
AB,-1
AL,-1
AM,-1
AO,-1
AL,-1
AQ,1
AH,1
K,1
AC,-1
AG,1
K,-1
AO,1
AH,-1
AK,-1
AA,1
L,-1
P,1
AP,1
H,-1
AA,-1
AO,-1
AA,-1
AC,-1
AO,1
H,1
AC,1
AR,-1
J,-1
AE,1
AN,1
H,-1
AA,-1
AJ,1
J,1
L,1
K,1
AC,-1
AC,-1
AM,-1
AE,1
H,1
K,-1
AJ,-1
AP,-1
AC,1
L,-1
AD,1
W,1
H,-1
AO,1
W,-1
AM,1
H,1
AA,1
AL,1
AE,-1
L,1
AD,-1
AE,-1
AC,-1
AF,1
AR,1
AE,1
AA,-1
AO,-1
AG,-1
AF,-1
AP,1
AK,1
AJ,1
K,1
AE,-1
AF,1
AA,1
AQ,-1
O,1
AA,-1
D,1
AQ,-1
AA,-1
AE,1
AH,-1
AA,-1
D,-1
O,-1
AA,-1
AL,-1
K,-1
L,-1
AF,-1
AK,-1
G,-1
N,-1
U,-1
AQ,1
AH,1
AL,1
AF,1
AB,1
AQ,-1
AR,-1
AJ,-1
AR,1
O,1
D,1
AB,-1
A,-1
AL,-1
AJ,1
AM,-1
AK,1
J,-1
A,1
AE,-1
J,1
AK,-1
L,1
A,-1
AM,1
AB,1
AM,-1
A,1
P,-1
L,-1
AR,-1
P,1
AE,1
D,-1
P,-1
AJ,-1
AP,-1
AM,1
AQ,1
AR,1
J,-1
J,-1
AL,1
AQ,-1
U,1
AP,1
P,1
AH,-1
O,-1
J,-1
AF,-1
AN,-1
AM,1
AK,1
AJ,1
J,1
J,1
N,1
J,-1
AL,-1
AQ,1
AM,-1
AM,-1
AH,1
AN,1
J,1
AK,-1
AE,-1
AN,-1
J,1
AQ,1
F,1
J,-1
E,1
AE,1
AR,-1
AN,1
J,1
AQ,-1
AR,1
Q,-1
AQ,-1
Q,1
AE,-1
AG,-1
AQ,1
P,-1
AK,1
AJ,-1
AQ,1
AK,-1
AQ,-1
AP,-1
AG,-1
AB,-1
AO,1
J,-1
J,-1
P,1
AQ,1
J,-1
AK,1
E,-1
AQ,-1
J,1
AB,1
E,1
P,1
Q,-1
AG,1
AG,1
AE,1
AB,-1
AF,1
AD,1
P,-1
P,-1
AC,1
AQ,-1
J,-1
AD,-1
Q,1
C,1
AF,-1
AC,-1
AD,1
AQ,1
AF,1
J,1
AM,1
AF,-1
AQ,-1
AE,1
AM,-1
AO,-1
AC,1
AE,-1
AM,1
AK,-1
AD,-1
AF,1
C,-1
J,-1
AH,1
AC,-1
AF,-1
AI,-1
AI,-1
AB,1
AN,-1
AR,-1
AM,1
AQ,1
L,1
C,1
K,1
P,1
AD,1
AM,-1
AP,1
AI,1
P,1
AI,-1
AM,1
AQ,1
P,-1
AD,-1
AB,-1
AA,1
AA,1
AD,1
AQ,-1
H,-1
AR,1
AC,1
AR,-1
AI,1
P,1
AC,1
AI,-1
H,1
AM,-1
AP,-1
AI,-1
AR,1
AQ,1
AD,-1
AG,1
AC,-1
AM,1
AO,1
AA,1
AC,-1
AA,-1
AB,1
AI,1
AE,-1
AI,-1
AB,-1
AA,1
C,-1
AC,1
AC,1
Q,-1
AA,1
AG,-1
AI,1
AA,-1
AR,-1
AA,-1
AA,-1
AQ,-1
AR,1
Q,1
AO,-1
AC,-1
AO,1
AE,1
AQ,1
AO,-1
AC,-1
E,-1
AG,1
AK,1
AG,-1
AA,-1
AI,1
AO,1
P,-1
AI,1
AE,-1
AM,-1
P,1
AN,1
AE,1
AQ,-1
AN,-1
F,-1
AQ,1
AH,-1
AK,-1
AH,1
AR,-1
AM,1
AO,-1
AC,1
AA,1
AC,1
AP,1
AR,1
AH,-1
AK,1
AA,1
N,-1
AM,-1
AN,1
M,1
AH,1
AG,1
AJ,1
AC,1
H,-1
AG,-1
AH,-1
P,-1
AB,1
AQ,-1
AH,1
AA,1
AQ,1
AG,1
AN,-1
AE,-1
AJ,-1
M,-1
AB,-1
AA,1
AH,-1
AC,-1
P,-1
AJ,1
AM,-1
M,1
K,-1
AM,1
M,-1
AC,1
AA,1
L,-1
P,1
P,1
AA,-1
N,1
AJ,-1
AH,1
AG,-1
N,-1
AQ,-1
AH,-1
U,-1
AN,1
U,1
AM,-1
AP,-1
N,1
G,1
P,-1
H,1
AQ,1
G,-1
AB,1
G,1
P,1
AE,1
AO,1
P,-1
L,1
H,-1
AQ,-1
AF,1
AO,-1
AA,-1
O,1
AM,1
AH,-1
O,-1
H,1
AP,1
H,-1
AM,-1
AF,-1
AJ,1
AM,1
L,-1
H,1
AA,1
G,-1
P,1
AH,1
H,-1
AL,1
AG,-1
AD,1
AJ,-1
AA,-1
AB,1
F,1
H,1
AD,-1
P,-1
AL,-1
AS,-1
AA,1
AJ,1
AS,1
AJ,-1
AA,1
AH,1
J,1
AE,-1
AG,-1
AQ,1
AB,-1
J,1
AB,-1
AH,-1
AJ,1
AG,1
AE,1
AH,1
P,-1
F,-1
H,-1
AH,-1
AD,1
N,-1
J,1
M,1
AD,-1
J,-1
AQ,-1
AH,-1
AQ,1
J,-1
AC,-1
AH,1
J,1
AL,1
J,-1
P,1
AH,-1
AQ,-1
AC,-1
J,1
AH,1
AC,1
AJ,-1
AE,-1
AC,1
AP,-1
AG,1
AQ,1
AO,1
J,-1
AN,-1
AB,1
AA,-1
M,-1
AQ,-1
AE,1
AN,1
P,1
AO,1
AE,-1
H,1
AL,-1
H,-1
P,-1
AO,-1
AO,-1
AB,-1
AA,1
AO,1
AQ,1
AE,1
AQ,-1
AD,1
AB,1
AF,1
N,1
AD,-1
N,-1
AQ,1
AE,-1
J,1
AO,-1
AF,-1
AH,1
U,-1
P,-1
AG,-1
H,1
AB,-1
AA,-1
P,1
U,1
AI,-1
AG,1
AO,1
J,1
AN,-1
AB,1
L,1
AB,-1
M,1
K,1
P,-1
AI,-1
M,-1
AN,1
AG,-1
M,1
AQ,-1
AI,1
K,-1
AA,1
AG,-1
AQ,1
AO,-1
P,1
M,-1
AI,-1
H,-1
AI,-1
AO,1
AC,-1
AG,1
P,-1
AC,-1
L,-1
AQ,-1
N,1
L,1
AO,1
P,1
AG,-1
P,-1
H,1
AP,-1
AO,-1
AC,1
K,1
P,1
AP,1
AA,-1
F,1
K,-1
AC,-1
AA,-1
AO,1
AC,1
F,-1
AP,-1
G,1
AK,-1
AA,1
AP,1
AI,1
L,-1
AI,-1
AO,-1
G,-1
AQ,1
F,1
AK,1
AC,1
AG,1
AI,1
AA,1
P,-1
AE,1
AG,1
H,-1
AD,1
F,-1
G,1
AO,-1
AF,1
AA,-1
AG,1
AP,1
AD,-1
H,1
AC,-1
H,-1
AK,-1
G,-1
AI,1
O,1
AE,-1
N,-1
AG,-1
H,1
P,1
AA,1
AP,-1
L,1
AO,1
N,1
O,-1
L,-1
AC,-1
AQ,-1
AO,1
H,-1
AQ,-1
AF,-1
AI,1
AN,-1
AO,-1
F,1
J,-1
AO,-1
AQ,1
AI,-1
AO,1
AC,1
AA,-1
AE,1
H,1
AO,1
AC,-1
AI,-1
AQ,-1
AA,1
AI,1
AK,1
AM,1
E,1
C,1
AO,-1
AM,-1
AQ,1
C,-1
AK,-1
AA,-1
AC,1
AK,1
AQ,1
AI,-1
E,-1
H,-1
AA,-1
AE,-1
F,-1
AK,-1
AI,1
AK,1
G,1
AM,1
AM,1
H,1
AG,1
H,-1
AE,1
AD,1
AK,-1
AI,-1
AA,1
AI,-1
AD,-1
H,1
AA,-1
AG,-1
AA,1
AM,-1
AA,1
AM,1
AI,1
AE,-1
AR,-1
G,-1
N,-1
AQ,-1
M,1
AE,1
AR,1
AM,-1
AA,-1
AI,-1
AD,1
AR,-1
P,-1
H,-1
AC,-1
AQ,1
AR,1
AO,-1
AC,-1
M,-1
AK,1
U,-1
J,1
AI,1
AI,1
AB,1
AP,1
P,1
AQ,-1
P,-1
AQ,-1
AI,-1
AQ,1
P,1
AD,-1
L,1
K,1
AB,-1
AI,1
AM,-1
AC,1
AQ,1
AD,1
P,-1
AD,-1
AE,-1
K,-1
AE,1
U,1
AE,-1
AA,1
H,1
L,-1
AE,1
P,1
AJ,1
M,1
L,1
AD,1
AN,1
AG,1
AN,-1
AO,-1
P,-1
L,-1
AG,-1
M,-1
U,-1
P,1
AG,1
AI,1
AA,1
AJ,-1
P,-1
AO,1
AI,-1
J,-1
AK,-1
AP,-1
P,1
H,-1
AO,-1
U,1
P,-1
H,1
N,1
AD,-1
AA,-1
AG,-1
AA,-1
AD,1
J,1
AI,1
AP,1
N,-1
AA,1
U,-1
P,1
AA,-1
J,-1
AC,-1
AB,1
J,1
AI,-1
AJ,1
AG,1
J,-1
AI,1
AR,-1
AD,-1
AB,-1
H,-1
AJ,-1
AO,1
AG,-1
AE,-1
AM,1
J,-1
AH,-1
AQ,-1
AQ,-1
J,1
AQ,1
H,1
U,1
AB,1
U,-1
J,-1
AA,-1
AE,1
AJ,1
AQ,-1
H,-1
AH,1
H,1
AJ,-1
AA,1
AQ,1
AM,-1
AQ,1
AI,-1
AG,1
J,-1
AB,-1
AE,-1
H,-1
AP,-1
AR,1
P,1
U,1
L,1
AN,1
AE,1
N,1
AO,1
AD,1
AK,1
P,-1
F,1
AD,-1
P,1
H,1
AO,-1
F,-1
P,-1
AB,1
L,-1
AI,1
AO,1
J,1
AK,-1
AE,-1
G,1
AI,-1
AO,-1
AF,1
AK,1
AO,1
J,-1
AE,1
AD,1
P,1
G,-1
P,-1
H,-1
AA,-1
N,-1
AG,-1
M,1
AB,-1
AF,-1
AI,1
AC,1
AO,-1
AF,1
AG,1
AD,-1
J,1
AG,-1
AP,1
P,1
AC,1
AE,-1
O,1
P,-1
AQ,-1
M,-1
AI,-1
AC,1
AI,1
AQ,1
H,1
AI,-1
AP,-1
H,-1
AO,1
N,1
P,1
AA,1
N,-1
M,1
D,1
AA,1
AC,-1
AQ,-1
AE,1
AK,-1
AI,-1
H,1
AI,-1
D,-1
H,-1
AA,-1
AA,-1
D,1
AR,-1
AD,1
AR,1
A,-1
P,-1
AC,-1
M,-1
AK,1
AA,1
J,-1
AO,1
AD,-1
L,1
P,-1
B,-1
AK,-1
AC,-1
AE,-1
H,1
AB,1
H,-1
K,1
J,-1
AO,-1
M,1
AO,-1
K,-1
H,1
AI,1
J,1
AQ,-1
AI,1
P,1
AK,1
M,-1
P,-1
AP,1
AE,1
B,1
P,1
M,1
P,1
AP,-1
M,-1
AE,-1
AK,-1
AR,-1
N,1
AP,1
AR,1
B,-1
AK,1
AB,-1
AE,1
B,1
AE,-1
H,-1
AK,-1
H,1
B,-1
G,1
A,-1
AK,1
AI,1
AE,1
K,1
A,1
AE,-1
AK,-1
G,-1
B,1
AI,-1
H,-1
AR,-1
AI,1
AJ,1
AB,1
AA,-1
AQ,1
K,-1
F,1
K,1
AI,-1
AE,1
E,1
AA,-1
E,-1
AI,-1
H,1
AQ,1
AE,-1
AA,1
B,-1
AI,1
AJ,-1
AG,1
AA,1
AJ,1
AI,1
J,-1
AR,1
AH,-1
AL,1
AJ,-1
AR,-1
AG,-1
AQ,-1
F,-1
K,-1
J,1
B,1
AL,-1
AJ,1
F,1
L,-1
AL,1
AQ,-1
L,1
AA,-1
P,-1
E,1
AE,1
B,-1
J,-1
AR,1
H,-1
AQ,1
Q,-1
AL,-1
H,1
AM,-1
AH,-1
AJ,-1
L,-1
J,1
AB,-1
AA,1
P,-1
Q,1
AC,1
AR,-1
AC,1
J,-1
AJ,1
C,1
H,-1
AC,-1
AC,-1
P,1
AB,1
L,1
H,1
P,1
AM,1
L,-1
J,1
AH,1
AE,-1
AB,-1
P,-1
AH,1
AC,1
H,-1
AQ,1
AG,1
AJ,-1
AC,1
AP,-1
J,1
AG,-1
AO,1
AH,-1
J,1
AH,1
AE,1
P,-1
B,1
AH,-1
