car,move
I,-1
V,1
U,1
M,1
T,-1
H,-1
J,1
K,1
W,-1
V,-1
W,1
T,1
H,1
M,-1
K,-1
G,1
Q,1
I,1
H,-1
V,1
P,1
D,1
C,-1
K,1
P,-1
H,1
D,-1
H,1
M,-1
Q,-1
P,1
M,1
H,-1
U,-1
C,1
T,-1
K,-1
J,-1
K,1
W,-1
J,1
P,-1
G,-1
H,1
T,1
Q,1
P,1
G,1
Q,-1
M,-1
U,1
H,1
M,1
M,1
O,1
H,1
J,1
T,-1
U,-1
C,-1
J,-1
D,1
J,1
W,1
J,-1
C,1
D,-1
Z,-1
H,-1
C,-1
M,-1
H,1
J,-1
W,-1
N,-1
T,1
J,1
W,1
J,-1
M,-1
W,-1
N,-1
Q,1
W,1
Q,-1
U,1
X,1
X,1
Z,-1
G,1
U,-1
Q,1
G,1
X,-1
T,1
U,1
T,1
X,1
Q,-1
X,-1
Y,1
Y,1
G,-1
W,-1
N,1
T,-1
Y,1
C,1
U,-1
G,-1
N,1
W,-1
U,1
T,-1
C,-1
T,1
Y,1
N,-1
W,1
T,-1
G,1
C,1
Q,1
T,1
Q,-1
U,-1
W,1
G,-1
U,1
T,1
C,-1
W,-1
X,-1
W,1
T,-1
M,1
M,1
Y,-1
Y,-1
U,-1
N,1
M,-1
W,-1
C,1
Y,-1
Y,-1
G,-1
Y,-1
U,1
T,1
M,-1
Q,1
Y,1
M,1
Y,1
N,-1
T,-1
M,-1
T,-1
M,1
N,1
Q,-1
M,-1
T,1
Y,1
Q,1
G,1
C,-1
X,1
T,-1
U,-1
Z,1
X,-1
N,-1
Y,1
J,1
X,1
U,1
J,-1
Q,-1
N,-1
X,1
J,1
Q,-1
Q,-1
T,-1
Q,1
U,-1
W,-1
T,1
J,-1
T,-1
Q,1
W,1
X,-1
Y,1
U,1
W,-1
N,1
Z,1
T,1
N,-1
O,-1
U,-1
X,1
P,-1
X,-1
W,1
X,1
Q,-1
G,1
O,-1
K,1
T,-1
V,-1
R,-1
W,1
V,1
O,-1
Q,-1
G,-1
O,1
W,-1
Q,1
P,1
W,-1
J,1
Q,-1
L,-1
T,1
Q,1
O,-1
U,1
W,1
J,-1
W,-1
Z,-1
T,-1
R,1
Z,-1
Q,-1
Y,-1
P,-1
L,1
O,-1
L,-1
Q,-1
U,-1
X,-1
U,1
Z,1
Y,-1
W,1
Y,1
G,1
Y,1
R,-1
G,-1
Y,-1
T,1
G,1
Z,-1
X,1
O,1
V,-1
Y,1
X,-1
V,-1
U,-1
Y,-1
V,1
W,1
U,-1
O,-1
W,-1
O,1
N,1
T,-1
R,1
W,1
U,1
U,1
T,1
Z,1
W,-1
U,-1
O,-1
J,1
T,-1
C,1
G,-1
X,-1
N,1
D,1
V,-1
D,-1
V,-1
D,1
C,-1
B,1
M,1
B,1
N,-1
S,1
K,1
Y,1
Z,1
O,1
T,1
M,-1
U,1
T,-1
A,1
K,1
B,-1
X,1
R,-1
J,1
R,1
G,1
A,-1
D,1
Y,1
B,-1
O,-1
W,1
O,-1
P,-1
T,1
K,1
O,1
T,-1
D,-1
W,-1
D,-1
O,1
T,1
U,1
J,-1
T,-1
Z,-1
J,-1
Z,1
W,1
Z,-1
G,1
U,-1
Z,-1
C,1
S,-1
T,1
T,1
V,1
C,-1
G,-1
G,-1
P,1
G,1
U,1
T,-1
T,-1
R,-1
P,-1
N,-1
P,1
W,-1
P,-1
T,1
X,1
P,1
R,1
G,-1
R,-1
W,-1
T,-1
X,-1
V,-1
O,-1
T,-1
U,-1
O,1
Z,1
U,1
N,1
T,1
S,1
O,-1
T,-1
U,-1
S,-1
P,-1
U,1
N,1
N,1
V,1
C,1
G,-1
L,1
G,1
U,-1
C,-1
J,1
D,1
T,1
V,1
Z,1
J,1
N,1
W,1
X,1
G,1
D,-1
J,-1
J,-1
Z,-1
Q,1
Z,1
P,-1
G,-1
C,1
J,1
W,-1
C,-1
V,-1
T,-1
J,-1
X,1
X,1
L,-1
M,1
C,1
Q,-1
V,1
X,1
L,1
G,-1
J,1
T,1
Q,1
X,1
X,1
