car,move
G,-1
N,-1
AH,1
H,1
P,1
AD,1
AL,-1
P,-1
AL,1
AG,1
L,1
AA,1
AJ,-1
N,1
AP,-1
O,1
D,1
A,-1
AA,-1
G,1
B,-1
AP,1
AB,-1
A,-1
H,-1
AC,-1
J,-1
A,1
J,1
H,1
L,-1
P,1
B,1
AC,1
P,1
A,-1
AG,-1
AD,-1
AL,-1
B,-1
P,-1
AE,-1
L,1
AM,-1
AC,-1
AJ,1
L,-1
AA,-1
AJ,-1
B,-1
J,-1
AE,1
AG,1
A,-1
P,1
AC,1
B,1
AA,1
AA,1
J,1
AC,-1
AC,-1
AP,-1
AE,-1
P,-1
AA,-1
AO,1
B,-1
AE,1
AA,1
AK,-1
J,-1
AE,-1
AR,-1
A,-1
AA,-1
J,1
B,1
AA,1
AO,-1
H,-1
L,1
B,-1
AC,1
AP,1
B,1
AR,1
AA,-1
B,-1
AJ,1
AK,1
AE,1
B,-1
P,-1
A,1
AC,1
AE,-1
AA,-1
AG,-1
AB,1
J,-1
P,1
AA,1
K,1
AB,-1
I,-1
K,-1
AQ,-1
I,1
AQ,1
H,1
AJ,-1
AC,-1
P,-1
I,-1
AK,-1
AG,1
P,1
AR,-1
AA,1
AR,1
H,-1
B,1
AA,-1
AR,-1
A,-1
A,-1
AA,-1
D,-1
J,1
I,1
H,1
A,1
AR,1
B,1
D,1
B,1
AP,-1
AO,1
L,-1
AM,1
A,1
AA,-1
A,1
P,1
AK,1
A,1
AK,-1
AE,1
H,-1
A,-1
A,-1
J,1
AC,-1
AK,1
AO,-1
AC,-1
AH,1
A,-1
AH,-1
AD,1
AH,1
H,1
AB,1
D,-1
P,-1
AD,-1
H,-1
D,1
J,1
AE,-1
AI,-1
B,-1
A,-1
AP,1
AE,1
AB,-1
D,-1
G,-1
AE,-1
J,-1
AJ,1
D,1
AA,1
H,1
J,-1
G,1
AA,-1
AB,1
B,-1
P,1
AK,-1
AI,1
B,1
AE,1
J,-1
AE,-1
D,-1
AH,-1
AK,1
AL,1
AK,-1
AG,-1
AB,-1
AA,1
J,1
D,1
AA,-1
AJ,-1
J,1
AJ,1
A,-1
AB,1
AK,1
J,-1
D,-1
AB,-1
AE,1
AQ,-1
D,1
B,1
AQ,-1
AA,1
L,1
AJ,-1
H,-1
AQ,1
K,1
G,-1
AD,1
H,1
AL,-1
AM,-1
AK,-1
H,-1
N,-1
B,-1
D,-1
H,1
AM,1
A,1
AM,-1
H,-1
H,-1
AC,1
AQ,-1
AA,-1
AJ,1
AA,1
B,-1
P,-1
U,-1
B,1
P,1
AJ,-1
AD,-1
AH,-1
J,-1
AJ,1
AQ,1
K,-1
U,1
AA,-1
AK,1
N,1
J,1
AC,1
F,1
AJ,-1
H,1
O,-1
AA,1
O,1
B,-1
AQ,1
AK,-1
AR,-1
L,-1
AG,1
H,1
I,-1
A,-1
AR,1
AK,1
AG,-1
J,-1
F,1
B,-1
AJ,1
P,-1
AC,1
F,1
G,1
L,1
AC,-1
G,-1
AC,-1
L,-1
F,-1
L,1
AH,1
AK,-1
P,1
AG,1
AR,-1
F,1
AA,1
AR,1
P,-1
G,1
AA,1
L,-1
P,-1
AK,1
AJ,-1
AM,1
AJ,1
AA,1
P,1
AH,-1
AC,-1
A,1
P,1
H,1
AM,-1
AH,1
AD,1
L,1
AA,1
F,1
D,1
H,1
A,1
AG,-1
AB,1
AQ,-1
A,-1
H,-1
E,1
AK,-1
AR,-1
AQ,1
AG,1
H,1
P,-1
Q,-1
A,-1
B,1
P,-1
AD,-1
G,-1
AE,-1
AM,1
D,-1
AA,-1
D,1
AL,1
F,1
K,1
AL,-1
AE,1
AD,1
AM,-1
P,1
P,1
B,-1
AR,1
AK,1
B,-1
AK,-1
F,-1
AM,1
AD,-1
AK,1
P,-1
AD,1
AH,1
E,1
AB,-1
K,-1
E,1
F,1
B,1
P,1
AC,1
Q,1
A,1
B,1
C,1
A,-1
F,-1
H,-1
AH,-1
L,-1
AA,-1
J,1
AC,1
A,-1
B,-1
AC,-1
AA,1
R,-1
E,-1
AL,1
J,-1
A,1
P,-1
G,1
AL,-1
H,1
P,1
H,-1
B,1
AH,1
AC,1
AC,1
AB,1
C,-1
P,-1
X,-1
P,-1
R,-1
AA,-1
J,1
J,1
AA,1
D,-1
AI,-1
AB,-1
AD,-1
AA,1
J,1
AD,1
J,-1
G,-1
AD,-1
J,-1
G,1
AI,1
M,-1
AD,1
AC,-1
D,1
L,1
AC,1
AD,-1
W,-1
B,-1
AE,-1
AA,-1
J,-1
C,1
A,-1
J,1
Y,-1
A,1
AA,1
J,-1
P,1
A,1
R,-1
U,1
B,1
J,1
P,-1
D,-1
AA,-1
C,-1
J,-1
AI,-1
O,-1
U,1
N,1
AI,-1
N,-1
B,-1
L,-1
M,1
H,1
P,1
AA,1
AF,-1
AB,1
N,1
F,1
AB,-1
C,1
G,-1
U,1
G,1
AC,-1
C,-1
F,-1
AC,1
AF,1
U,1
AE,1
AG,-1
P,-1
H,-1
AE,-1
AF,-1
Y,1
AF,1
AQ,-1
G,-1
N,-1
AC,-1
AQ,1
B,1
W,1
AQ,-1
B,-1
O,1
AE,1
C,1
E,1
O,-1
R,1
O,1
L,1
AQ,1
K,1
A,-1
N,1
F,-1
AD,1
M,-1
A,-1
H,1
AK,-1
AI,-1
AQ,-1
W,-1
A,1
M,1
AR,-1
H,-1
M,-1
B,1
T,-1
H,-1
AI,1
E,-1
H,1
AI,-1
A,1
AC,-1
AQ,1
G,1
AG,1
AC,-1
A,-1
Y,-1
AR,1
AI,1
H,1
AI,1
K,-1
H,-1
P,1
N,-1
AC,1
AC,1
J,1
Y,1
G,-1
N,1
P,-1
J,-1
A,-1
J,1
AC,-1
AD,-1
A,1
A,1
AA,-1
G,1
V,1
AC,-1
G,1
H,-1
AK,1
V,-1
Y,-1
H,1
AD,1
F,1
Y,1
AC,1
D,1
AI,-1
T,1
B,-1
M,1
AA,1
AI,1
V,1
N,1
L,-1
M,1
V,-1
J,1
B,1
AI,-1
B,-1
V,1
P,1
B,1
AK,-1
A,-1
B,-1
A,1
AA,-1
AC,1
B,1
R,1
G,-1
AD,-1
G,-1
AI,1
B,-1
AE,-1
V,-1
J,-1
P,-1
AC,-1
AC,-1
B,1
M,-1
L,1
AR,-1
AE,1
D,-1
K,1
G,1
M,1
V,1
C,-1
M,-1
A,-1
AI,-1
AB,1
N,-1
C,1
AE,-1
R,-1
AI,1
U,-1
V,-1
D,1
P,1
W,1
M,-1
T,-1
B,-1
A,-1
D,-1
U,1
X,1
AI,-1
AE,1
O,-1
T,-1
AI,1
AB,-1
A,1
X,1
N,-1
P,-1
K,-1
AI,-1
X,1
AD,1
AB,1
G,-1
B,1
AI,-1
AR,1
K,1
W,-1
X,1
V,1
X,1
G,1
