car,move
AG,1
L,1
P,1
AF,-1
AE,1
AH,1
AB,-1
P,-1
AE,-1
AN,-1
AM,1
P,1
AL,-1
AE,-1
AL,1
AC,-1
AC,-1
AA,1
P,-1
AA,-1
AE,1
G,-1
AK,-1
AG,-1
H,1
AJ,-1
AC,1
AL,1
G,1
AC,-1
AH,-1
G,-1
AJ,1
P,1
AL,-1
H,-1
AR,-1
AL,-1
P,-1
AJ,-1
G,1
H,1
K,1
AA,-1
H,-1
AP,-1
K,-1
AP,1
AL,1
AH,1
AR,1
AD,1
AJ,1
AQ,-1
AR,-1
AQ,-1
G,-1
AD,-1
AJ,-1
AE,-1
AL,1
AJ,1
L,-1
AJ,-1
AQ,1
AC,1
AR,1
AK,1
AJ,1
P,1
J,1
N,-1
P,1
N,1
AA,-1
AC,1
P,-1
J,-1
AE,1
AL,-1
AD,1
AB,1
N,-1
AQ,1
P,1
AD,-1
AH,-1
M,1
AM,-1
M,-1
AO,-1
M,1
AL,-1
AG,1
H,1
AL,1
H,-1
AA,1
J,1
H,1
AA,1
H,-1
AO,1
J,-1
AA,-1
AJ,-1
M,-1
AP,-1
AN,1
AL,-1
AO,1
AL,1
AA,-1
P,-1
AO,-1
U,-1
P,1
U,1
AN,-1
AH,1
AD,1
P,-1
M,1
AA,1
AL,-1
AD,-1
M,-1
J,1
AN,1
J,1
AE,1
H,1
M,1
AP,1
AJ,1
H,-1
AM,-1
AG,-1
J,-1
P,1
AM,1
H,1
AJ,-1
AQ,-1
H,-1
W,1
AL,1
AA,-1
AP,-1
AD,1
AL,-1
S,1
J,-1
Q,1
AL,1
AA,1
L,1
AP,1
AB,-1
AJ,1
AL,-1
AM,-1
K,1
M,-1
AC,-1
N,1
AC,1
P,-1
AA,-1
G,1
K,-1
L,-1
AA,1
AM,1
AD,-1
AM,-1
AA,-1
AH,-1
L,1
H,1
AH,1
AQ,1
AB,1
L,-1
H,-1
AJ,-1
Q,-1
G,-1
L,1
AH,-1
N,-1
AM,1
U,-1
AG,1
AM,-1
L,-1
AB,-1
AC,-1
AC,-1
U,1
AP,-1
U,-1
L,1
AC,-1
AA,1
AK,-1
S,-1
AO,1
AG,-1
L,-1
AR,-1
S,1
AM,1
AG,1
J,1
AL,1
AH,1
AE,1
AO,-1
H,1
AO,1
J,1
AB,1
AL,-1
P,-1
J,1
AO,-1
AD,1
AH,1
AI,-1
AR,1
S,-1
P,1
AD,-1
P,-1
AI,1
AO,1
AK,1
L,1
S,1
K,1
AE,-1
AI,-1
AO,-1
AP,1
AK,-1
AP,-1
P,1
AO,1
AA,-1
AB,-1
AR,-1
AA,-1
AC,1
AI,1
AG,-1
AI,-1
Q,1
AO,-1
AQ,-1
AQ,-1
AR,1
AP,1
AD,1
U,1
AI,1
AP,-1
AH,-1
U,-1
AP,1
AD,-1
U,1
AH,-1
AR,-1
AC,-1
AP,-1
AL,1
N,1
Q,-1
AA,-1
S,-1
F,1
AQ,1
AA,-1
AQ,1
AA,1
AL,-1
AQ,-1
AP,1
AC,1
AL,1
AA,1
AR,1
AP,-1
AO,1
AO,1
AA,1
E,1
AC,1
AA,1
AL,-1
E,-1
AR,-1
W,-1
AC,-1
E,1
AL,1
AQ,-1
AC,-1
AA,-1
AE,-1
AA,1
H,-1
C,1
AB,1
AL,-1
H,1
C,-1
H,-1
K,-1
AL,1
H,1
AG,-1
AA,-1
AL,-1
AG,1
AO,-1
AO,-1
AM,-1
AP,1
AJ,1
AA,1
C,1
AF,1
AR,1
AF,-1
K,1
AQ,1
AK,1
AJ,-1
H,-1
K,-1
AP,-1
AQ,-1
K,1
AO,1
AH,1
AF,1
AH,-1
P,-1
AF,-1
AO,-1
AE,1
K,-1
AP,1
AJ,1
AM,1
AE,-1
AN,-1
C,-1
AM,1
AK,-1
H,1
Q,-1
AB,-1
Q,1
C,1
AR,-1
AB,1
C,-1
K,1
H,-1
AJ,-1
P,1
C,1
AM,-1
AA,-1
H,1
AL,1
AN,1
AE,1
AP,-1
AQ,1
AL,-1
AH,1
AD,1
AM,-1
H,-1
AA,1
AQ,-1
AD,-1
AE,-1
P,-1
AF,1
C,-1
AE,-1
AO,1
AM,1
AH,1
P,1
E,-1
O,1
AE,1
K,-1
O,-1
K,1
AF,-1
AI,-1
AF,1
O,1
E,1
K,-1
AD,1
AI,-1
AO,1
H,-1
P,-1
E,-1
AR,1
AK,1
AO,-1
L,-1
AI,1
P,1
AO,-1
L,1
AP,1
AK,-1
AD,-1
K,1
P,-1
AK,1
AP,-1
AB,-1
H,1
AQ,1
E,1
AI,1
P,1
AQ,1
P,-1
AK,-1
AD,1
AB,1
AK,1
Q,-1
AO,1
O,-1
AI,-1
AK,-1
H,1
AI,-1
O,1
AO,-1
Q,1
AQ,-1
AO,1
AI,1
AQ,1
H,-1
AQ,-1
C,1
AQ,1
AI,1
AD,-1
H,-1
AQ,-1
H,1
AE,-1
K,-1
AB,-1
L,-1
D,1
AQ,-1
C,-1
L,1
AO,-1
AQ,1
H,1
AR,-1
E,-1
P,1
AQ,-1
F,-1
AE,1
H,-1
AO,1
K,1
AI,-1
AI,-1
AI,-1
K,-1
L,-1
A,-1
L,1
AO,1
AI,1
AA,-1
B,-1
L,-1
AE,-1
B,1
G,1
A,-1
AC,1
B,-1
AO,-1
B,1
AC,-1
H,1
J,-1
AR,1
J,1
B,-1
AO,1
AI,1
AK,1
J,-1
AK,-1
A,-1
AO,-1
A,1
AB,1
B,1
AE,1
AO,-1
J,1
AQ,1
J,-1
AA,1
AO,1
AE,-1
AQ,-1
AE,1
AB,-1
A,-1
B,-1
AQ,1
AQ,1
B,-1
A,-1
I,-1
D,-1
AG,1
B,-1
AB,1
A,-1
H,1
H,1
AG,-1
B,1
AA,-1
G,-1
B,-1
AA,1
AR,-1
AE,-1
AQ,-1
A,-1
J,1
D,1
G,1
AB,-1
AC,1
AQ,1
G,-1
AE,1
G,1
AI,1
D,-1
L,1
A,1
AE,-1
L,-1
H,-1
L,1
A,-1
AC,1
H,1
AH,-1
AG,1
B,1
O,-1
AA,1
AF,-1
AM,-1
B,-1
AF,1
AC,-1
AM,1
G,-1
AM,-1
K,1
B,1
H,-1
AM,1
N,-1
AH,1
AR,1
AO,-1
P,-1
N,1
G,1
AF,-1
G,-1
AI,-1
G,1
H,-1
B,-1
H,1
H,1
P,1
AN,-1
AI,1
AN,1
AO,1
H,-1
AR,-1
AF,1
AR,1
AA,-1
AR,-1
A,1
B,1
H,-1
K,-1
AC,-1
AG,-1
A,-1
AG,1
G,-1
AI,-1
O,1
G,1
AO,-1
AP,1
AA,-1
L,-1
AJ,1
AB,1
AI,1
H,-1
I,1
H,1
O,-1
AE,1
L,1
AI,-1
AA,1
AI,1
B,1
AD,1
B,1
L,-1
H,-1
AH,-1
AD,-1
AR,1
B,-1
AH,-1
AM,-1
AB,-1
B,-1
AK,1
AA,-1
AG,-1
G,-1
AC,1
AC,1
O,1
F,1
B,1
AC,-1
B,1
H,1
AJ,-1
AK,-1
E,1
C,1
A,1
C,-1
Q,-1
AJ,1
AG,1
D,1
A,-1
AM,1
AK,1
AA,1
D,-1
AM,-1
H,-1
Q,1
B,-1
AC,-1
AA,-1
Q,-1
AC,1
H,1
AH,1
B,-1
AK,-1
AJ,-1
AK,1
B,1
Q,1
B,1
F,1
E,-1
A,1
E,1
E,1
AH,-1
AG,-1
Q,-1
AG,1
L,1
AP,-1
H,-1
AM,1
R,-1
AG,-1
AO,1
R,-1
AL,1
AK,-1
R,-1
M,-1
AQ,-1
AH,1
AO,-1
AA,1
Q,1
R,1
AP,1
T,-1
AC,1
AA,1
AJ,1
C,1
P,-1
AC,-1
T,-1
K,1
AK,1
AQ,1
H,1
R,-1
AG,1
X,1
F,1
G,1
X,-1
AE,-1
AA,1
R,1
K,-1
AA,-1
R,-1
X,1
C,-1
X,-1
AA,-1
AJ,-1
C,1
AC,1
B,-1
AP,-1
B,-1
I,-1
G,-1
B,-1
T,1
I,1
P,1
AE,1
G,1
AC,1
R,1
X,-1
AC,-1
AC,-1
AH,-1
A,1
C,-1
AK,-1
K,1
AP,1
Q,-1
X,-1
AL,-1
AA,1
A,-1
AG,-1
B,1
I,-1
AG,1
G,-1
B,-1
N,-1
AH,1
AE,-1
R,-1
AG,-1
AC,1
AR,-1
AM,-1
AE,1
AP,-1
AQ,-1
I,1
W,-1
V,1
T,-1
AC,-1
R,1
AD,1
AO,1
AM,1
AA,-1
AA,-1
AD,-1
AA,-1
AD,1
B,1
R,-1
I,-1
V,-1
AD,-1
AH,-1
AO,-1
AH,1
AD,1
AH,1
U,-1
X,1
AI,-1
B,-1
U,1
B,1
X,-1
R,1
AO,1
AI,1
AC,-1
R,-1
AO,1
X,1
I,1
AI,-1
AO,-1
X,-1
B,1
AC,1
V,1
AD,-1
AI,-1
V,-1
X,1
Q,1
U,-1
AO,1
T,1
V,1
AA,1
B,-1
T,-1
B,-1
Q,-1
AA,-1
X,-1
V,-1
AQ,-1
B,1
AO,-1
AO,-1
AE,-1
U,1
Y,-1
AC,-1
AP,1
U,1
B,-1
AE,1
I,-1
AE,-1
AC,1
AI,-1
H,1
N,1
U,-1
F,1
H,1
Y,1
G,1
X,1
Y,-1
AE,1
O,-1
AQ,1
AC,1
H,-1
AD,1
U,1
X,-1
N,1
B,1
AD,-1
X,1
Q,1
AJ,1
H,1
N,-1
B,-1
N,1
R,1
Q,-1
AC,-1
AE,-1
AQ,1
AC,-1
F,1
G,1
AE,1
AA,-1
AR,1
Q,1
AF,-1
AJ,-1
R,-1
AB,1
AI,1
AR,-1
C,1
B,1
A,1
AF,1
T,1
A,-1
AA,1
AF,-1
AQ,-1
AF,1
AI,1
F,-1
A,1
T,-1
AP,-1
AI,-1
T,1
T,1
AP,1
R,1
T,-1
AE,-1
AJ,1
AI,-1
AR,1
O,1
G,-1
O,-1
N,-1
AK,1
A,-1
U,1
AF,-1
AB,-1
H,-1
T,1
U,1
Y,1
AQ,1
A,1
AF,1
B,-1
C,-1
AG,1
AI,1
Q,-1
T,-1
AJ,-1
AG,-1
AI,-1
A,-1
Y,-1
A,-1
N,1
AK,-1
AF,-1
X,-1
AC,1
T,-1
AG,-1
H,1
AA,1
A,1
T,1
R,-1
X,1
R,1
AK,1
AA,-1
N,-1
AK,-1
Y,1
Q,1
A,1
W,1
F,1
AA,-1
A,-1
AG,1
AN,-1
U,1
AA,-1
A,-1
AJ,1
AK,1
AC,1
P,-1
AK,-1
P,1
X,1
AN,1
X,-1
AQ,-1
T,-1
P,-1
AC,-1
AA,1
AQ,1
U,-1
X,1
AK,1
X,-1
AF,1
AK,-1
AA,-1
T,1
X,1
K,-1
T,-1
AI,1
K,1
AC,1
P,1
K,-1
X,1
N,1
O,1
AR,-1
G,-1
AG,1
C,1
G,1
A,1
N,-1
X,1
C,-1
AG,-1
W,-1
AI,1
V,1
B,1
A,1
O,-1
AJ,-1
B,-1
X,1
AP,-1
AR,1
V,-1
AO,1
AR,-1
R,-1
AG,1
AI,-1
R,1
L,-1
U,1
Y,-1
J,-1
X,1
AI,-1
J,1
AR,1
Y,1
P,-1
AO,-1
V,1
Q,-1
AI,1
AO,1
A,-1
J,-1
T,1
AC,-1
A,-1
X,-1
AG,-1
AC,-1
X,1
AC,1
AE,1
AQ,-1
T,1
AR,-1
AO,1
N,1
AI,1
M,1
AI,-1
AC,-1
AO,1
AI,1
A,1
M,-1
G,-1
X,1
P,1
AQ,-1
AB,1
X,1
X,1
X,1
