car,move
H,-1
I,-1
V,-1
T,-1
U,1
V,1
W,-1
M,1
G,1
K,1
N,-1
V,-1
U,-1
V,1
N,1
J,1
T,1
I,1
H,1
M,-1
T,-1
J,-1
W,1
J,1
T,1
D,1
V,-1
K,-1
C,-1
D,-1
Q,1
H,1
W,-1
K,1
H,1
C,1
I,-1
C,-1
M,1
N,-1
I,1
Q,-1
Y,-1
N,-1
Y,1
M,-1
I,-1
Y,-1
N,1
Q,1
N,-1
O,-1
Q,-1
V,1
O,-1
U,1
J,1
K,1
Q,1
L,-1
N,1
V,1
M,-1
X,1
N,-1
X,1
L,1
W,-1
V,-1
U,-1
J,-1
Y,1
Z,-1
Q,-1
Q,-1
I,1
Q,-1
L,-1
R,-1
Y,1
V,-1
O,-1
U,1
T,-1
V,-1
H,1
Y,1
Q,-1
W,1
O,1
T,1
O,-1
Q,1
G,1
J,-1
Y,1
R,1
W,1
Y,-1
Y,-1
U,-1
S,1
K,1
X,1
U,1
Y,-1
U,-1
X,1
X,1
G,1
X,1
K,-1
S,-1
V,1
V,1
X,1
