car,move
H,-1
J,1
V,1
G,1
T,-1
V,-1
K,1
D,1
K,-1
U,1
H,1
V,1
W,-1
M,1
W,1
V,-1
D,-1
T,1
G,-1
H,1
W,-1
V,1
W,1
Q,1
M,-1
Q,-1
I,-1
G,1
V,-1
V,-1
W,-1
M,1
G,-1
U,-1
T,-1
K,1
M,-1
M,-1
X,1
K,-1
X,-1
I,1
K,1
G,1
T,1
W,1
U,1
T,-1
U,-1
H,1
W,-1
X,1
H,1
N,-1
C,-1
N,-1
J,-1
N,1
O,-1
V,1
C,1
V,-1
Y,-1
C,-1
K,1
L,-1
G,1
V,1
J,1
N,-1
Y,1
J,-1
T,1
Q,1
O,-1
X,1
Y,-1
V,-1
X,1
V,-1
Q,-1
G,-1
W,-1
S,1
Y,1
U,1
K,1
Q,1
X,1
X,1
M,1
X,1
K,-1
S,-1
V,1
V,1
X,1
