car,move
J,1
H,1
V,-1
G,1
U,1
G,-1
W,-1
U,1
U,-1
G,1
I,-1
K,1
I,-1
F,1
Q,1
C,-1
V,1
V,-1
W,1
V,1
V,-1
W,-1
C,1
M,1
M,-1
Q,-1
Y,-1
U,1
G,-1
M,-1
Y,1
T,-1
F,-1
Y,-1
X,1
F,1
U,-1
V,1
W,-1
U,-1
V,1
G,1
V,-1
T,-1
G,-1
W,-1
V,1
Y,1
W,1
W,-1
W,1
W,-1
Y,-1
U,1
V,-1
V,-1
V,1
F,-1
I,1
H,1
N,-1
Y,1
U,-1
I,1
Y,-1
W,1
T,1
N,1
W,1
V,-1
X,-1
I,-1
U,1
V,1
V,1
I,1
M,1
M,1
U,-1
M,-1
H,1
G,1
C,-1
J,-1
Y,1
M,1
Y,-1
N,-1
T,1
M,-1
C,1
M,1
O,-1
T,-1
P,1
M,-1
K,1
J,1
M,1
K,-1
O,1
P,-1
P,1
O,1
T,1
U,1
G,-1
Z,-1
U,-1
H,-1
U,1
T,-1
I,-1
G,1
M,-1
Y,1
I,1
M,-1
T,1
Q,1
N,1
G,-1
I,-1
G,1
Y,1
I,1
H,1
Q,-1
Y,1
G,-1
Q,1
D,1
Y,1
Q,-1
U,-1
W,1
Y,1
Y,-1
Q,1
Q,-1
M,1
Y,1
M,-1
M,1
M,-1
G,1
Q,1
Y,-1
D,-1
W,-1
U,1
N,-1
G,-1
N,1
M,1
G,1
Q,1
M,1
R,-1
G,-1
N,1
Y,1
W,1
Y,-1
U,-1
N,-1
J,-1
R,1
N,-1
N,1
Y,1
J,1
N,-1
G,1
D,1
Z,1
U,1
D,-1
Z,-1
G,-1
U,-1
G,1
Z,1
Q,-1
H,-1
O,-1
C,-1
U,1
N,-1
H,1
W,-1
D,1
W,1
W,-1
Q,1
R,-1
M,-1
R,1
R,-1
P,-1
M,-1
D,-1
H,-1
U,-1
X,1
V,-1
V,1
R,1
P,1
R,-1
G,1
X,1
P,-1
U,1
P,1
O,1
W,1
J,1
H,1
J,-1
U,-1
W,-1
J,1
U,1
R,1
H,-1
I,-1
X,-1
I,1
X,1
G,-1
W,-1
Q,-1
H,1
H,-1
I,-1
Q,1
J,-1
R,-1
Z,-1
I,1
R,1
W,1
I,-1
U,-1
W,1
Z,1
Z,-1
U,1
X,-1
Z,1
G,1
U,-1
Q,-1
U,1
X,1
U,-1
Q,1
O,-1
X,-1
N,1
I,1
P,-1
O,-1
G,1
O,1
I,-1
Q,-1
C,1
C,-1
N,-1
X,1
X,-1
I,1
V,-1
H,1
J,-1
G,-1
Y,1
Y,-1
X,1
Q,1
X,1
O,-1
Y,1
R,-1
G,-1
G,1
V,-1
O,-1
X,-1
O,-1
Z,-1
J,1
D,1
B,1
B,1
A,1
B,1
K,1
D,-1
L,-1
Z,1
J,-1
Y,-1
O,-1
N,-1
X,1
A,-1
V,-1
N,1
M,1
M,-1
X,-1
X,1
S,1
S,-1
V,1
V,-1
G,-1
R,1
O,1
N,-1
O,1
S,1
U,1
Z,-1
Z,1
O,-1
X,-1
J,1
W,-1
A,1
U,-1
W,-1
J,1
U,1
O,1
K,1
U,1
H,-1
N,1
K,-1
K,1
A,-1
L,-1
L,1
X,-1
X,1
H,1
K,-1
H,-1
X,-1
K,1
H,1
K,1
J,-1
Y,1
H,-1
O,1
N,-1
Y,-1
O,-1
Z,-1
W,1
W,1
X,1
A,1
H,1
Z,1
W,-1
H,-1
O,-1
Y,1
J,1
H,1
P,-1
L,-1
R,-1
Y,-1
P,1
G,1
X,-1
L,1
P,-1
A,-1
D,1
X,1
B,-1
R,1
Q,-1
P,1
G,-1
N,1
A,1
U,-1
N,-1
W,1
G,1
Y,1
N,1
A,1
W,-1
U,1
P,-1
Q,1
U,-1
Q,-1
A,-1
B,-1
K,1
J,-1
W,1
S,-1
Z,-1
U,1
O,1
S,1
Q,-1
Q,-1
Q,-1
T,-1
U,-1
B,1
G,-1
Q,-1
S,-1
A,1
Z,1
O,-1
V,1
V,-1
P,-1
X,-1
O,-1
T,1
U,1
B,1
B,-1
X,1
P,1
P,1
O,1
W,-1
V,1
T,-1
W,-1
U,-1
T,-1
T,1
Q,1
T,1
A,-1
R,-1
B,-1
U,1
R,1
R,-1
T,-1
L,1
P,-1
T,1
P,1
A,-1
T,-1
U,-1
Z,-1
Q,-1
X,-1
B,1
T,-1
Z,1
L,-1
T,1
N,-1
A,1
X,1
R,1
W,1
Q,1
Q,-1
V,-1
T,1
A,-1
X,-1
R,-1
X,1
O,1
A,1
Z,-1
W,-1
U,1
S,1
Q,1
W,1
A,-1
W,1
P,-1
O,-1
W,-1
T,-1
W,1
U,-1
N,1
G,1
B,-1
B,-1
O,1
T,1
B,1
Q,-1
O,-1
U,1
Z,1
G,-1
W,-1
B,-1
B,1
W,1
Z,-1
S,-1
Q,1
O,-1
B,1
S,1
B,1
