car,move
U,1
G,1
M,1
G,-1
I,-1
G,1
G,-1
J,1
G,1
T,-1
W,-1
Y,-1
T,1
V,1
K,1
V,-1
T,-1
H,1
V,-1
H,1
Y,1
V,1
W,1
V,1
N,-1
W,-1
C,-1
P,1
C,1
I,1
U,-1
O,1
T,1
Y,-1
I,-1
M,-1
I,1
Q,1
I,-1
N,1
I,1
J,1
Q,-1
Q,1
C,-1
J,-1
N,-1
J,1
C,1
M,1
C,-1
Y,1
Q,-1
C,1
H,1
W,1
H,-1
M,-1
M,-1
G,-1
I,-1
M,1
G,1
I,1
U,1
I,-1
G,-1
N,1
I,1
N,-1
Q,1
G,1
H,1
Q,-1
J,-1
M,-1
O,-1
T,-1
U,-1
H,-1
C,-1
N,-1
O,1
H,1
Z,-1
H,-1
U,1
X,1
Z,1
J,1
X,-1
H,1
T,1
T,-1
N,1
J,-1
J,-1
T,1
N,-1
Z,-1
U,-1
Q,1
N,1
Z,-1
U,-1
C,1
U,1
U,-1
C,-1
X,1
X,-1
C,1
Y,1
Q,1
W,-1
Q,-1
Q,1
C,-1
X,1
G,1
R,-1
G,-1
Y,1
R,1
Y,1
Y,-1
X,-1
N,1
Q,-1
Y,1
U,1
T,1
W,1
U,1
N,-1
C,1
Q,-1
T,-1
X,1
N,1
Y,-1
N,-1
T,-1
X,-1
C,-1
M,1
T,1
M,-1
Z,1
N,-1
M,1
N,1
N,1
U,-1
Q,1
Q,1
C,1
M,1
Y,-1
W,-1
R,-1
W,1
N,-1
U,1
U,-1
N,1
N,1
U,1
Z,-1
U,-1
U,-1
U,1
N,-1
C,-1
Y,1
U,-1
N,-1
W,-1
U,1
U,-1
C,1
C,-1
R,1
W,1
N,-1
Q,-1
Y,1
Q,-1
Y,1
W,-1
W,1
W,-1
W,1
U,1
T,1
Y,-1
Y,1
N,1
T,-1
T,-1
U,-1
N,1
Y,-1
Y,-1
Y,-1
T,1
Y,1
W,-1
Y,-1
T,-1
Y,1
U,-1
W,1
U,1
Y,1
Y,1
U,1
Z,1
C,1
Z,-1
M,-1
G,-1
N,-1
U,1
T,1
G,1
U,-1
Z,1
J,1
Q,1
H,-1
I,-1
M,-1
I,1
W,-1
Z,1
W,1
N,1
Q,1
R,-1
Z,-1
H,1
J,-1
Z,1
G,-1
W,-1
J,1
W,1
N,1
X,1
W,-1
G,1
H,-1
W,-1
H,1
Z,-1
H,-1
G,-1
Y,-1
Y,-1
Y,1
Y,-1
W,1
I,-1
Y,1
X,-1
Y,1
Z,1
J,1
G,1
J,-1
I,1
M,1
G,-1
J,1
W,1
I,-1
J,-1
M,-1
N,-1
G,1
H,-1
Z,-1
I,1
W,-1
X,1
X,-1
I,-1
I,-1
F,1
F,-1
X,1
Y,-1
W,-1
C,-1
U,1
Y,-1
I,1
Y,-1
W,1
W,-1
K,-1
N,1
Y,1
Y,-1
I,1
N,-1
I,-1
U,-1
R,1
K,1
C,1
U,1
I,1
W,1
G,1
I,-1
I,1
U,-1
Q,-1
C,-1
K,-1
I,-1
Y,1
Q,-1
Q,1
Y,1
I,1
K,1
Y,-1
Y,-1
Y,1
G,-1
G,1
H,1
H,1
H,-1
N,-1
G,-1
N,1
C,1
H,1
Y,1
J,-1
Y,-1
W,1
J,1
H,-1
N,-1
W,-1
N,1
G,1
Q,1
C,-1
N,-1
G,-1
W,1
I,-1
I,1
Y,1
N,-1
W,-1
X,1
W,-1
W,1
W,1
W,-1
Y,1
Q,-1
Q,-1
Q,1
Y,-1
G,1
U,1
Y,1
Q,1
H,1
Z,1
O,-1
J,-1
X,1
W,1
G,1
G,-1
M,1
G,1
M,-1
X,-1
U,-1
P,-1
O,-1
G,-1
W,-1
X,1
P,-1
M,1
P,1
V,-1
U,1
U,-1
P,-1
U,1
P,1
R,-1
M,1
R,1
R,-1
W,1
U,-1
K,1
U,1
M,-1
L,-1
M,-1
L,1
X,-1
X,-1
V,-1
O,-1
Z,-1
G,1
Y,1
Y,-1
L,-1
G,-1
J,1
R,1
U,1
J,-1
X,1
G,-1
Y,-1
L,1
W,-1
W,-1
R,-1
L,-1
X,1
V,-1
V,1
V,-1
Y,-1
Y,1
M,1
S,1
Y,1
R,1
Z,1
K,1
Q,-1
Y,1
Q,-1
Q,1
K,1
P,-1
U,-1
O,1
O,-1
O,-1
P,-1
Y,-1
Y,1
K,1
P,-1
X,1
K,-1
M,-1
P,1
P,1
P,1
N,1
X,1
X,1
N,1
N,-1
Q,1
N,1
K,-1
U,-1
C,1
X,-1
C,-1
Z,-1
M,1
J,1
U,1
U,1
W,1
H,-1
I,-1
I,1
X,1
Y,-1
W,1
H,-1
H,-1
Y,-1
K,-1
D,1
O,-1
U,-1
Q,-1
Q,1
Y,1
B,1
M,1
Q,-1
Y,1
K,1
B,1
Q,1
B,-1
B,-1
Q,-1
X,-1
H,-1
Q,1
I,-1
Y,-1
Q,-1
Q,1
B,1
U,-1
Y,-1
Y,1
B,1
Y,1
U,1
R,-1
A,1
U,-1
V,-1
U,1
U,1
R,1
A,1
Y,-1
X,1
R,-1
Y,1
M,-1
H,1
V,-1
X,1
