car,move
W,-1
J,1
V,-1
J,-1
Q,1
V,1
V,-1
V,1
V,1
K,1
G,1
V,-1
V,1
M,1
W,1
V,-1
C,-1
J,1
W,-1
C,1
V,1
C,-1
C,1
M,-1
K,-1
P,1
U,1
H,1
K,1
H,1
H,-1
M,1
H,1
U,-1
H,-1
H,1
G,-1
W,1
G,1
M,-1
Q,-1
U,1
Q,1
P,-1
W,-1
Q,-1
Q,1
Y,-1
G,-1
Q,-1
H,1
P,1
D,1
G,1
C,-1
C,1
G,-1
M,1
O,1
Q,1
Q,-1
Z,-1
Y,1
Y,-1
Q,1
U,-1
D,-1
N,-1
N,1
M,-1
N,-1
D,1
Z,1
G,1
C,-1
Z,-1
U,1
C,1
C,-1
Z,1
Y,1
U,-1
M,-1
O,-1
Q,-1
B,1
C,1
O,-1
G,-1
W,1
X,1
O,1
O,-1
G,1
G,1
Q,1
Q,-1
B,-1
G,-1
Q,1
P,-1
O,1
O,-1
W,-1
P,1
K,1
K,-1
X,-1
O,-1
J,1
G,-1
D,-1
M,1
P,-1
H,-1
P,-1
H,1
V,-1
V,1
P,1
G,1
K,1
V,-1
H,-1
K,-1
V,-1
V,1
K,1
J,-1
O,1
V,1
V,-1
K,-1
O,1
M,-1
C,-1
O,-1
W,1
K,1
Q,-1
Q,1
X,1
X,-1
V,-1
V,1
X,1
C,1
H,1
C,-1
O,-1
K,-1
K,1
O,-1
D,1
K,-1
G,1
B,1
U,1
U,-1
B,1
B,1
V,-1
N,1
W,-1
P,-1
P,-1
Y,-1
P,1
P,1
U,1
B,-1
U,1
A,1
Y,1
W,1
B,-1
K,1
A,-1
A,1
K,-1
G,1
U,-1
U,1
K,1
K,-1
C,1
U,-1
B,1
C,-1
A,1
U,-1
A,-1
U,1
A,1
P,-1
P,-1
P,1
N,-1
U,1
N,-1
G,-1
J,1
N,1
B,1
D,1
U,-1
U,1
A,-1
E,-1
O,1
G,-1
P,1
E,-1
O,-1
O,-1
A,1
U,-1
K,1
A,1
U,-1
A,-1
X,-1
X,1
A,1
A,-1
O,1
U,1
E,1
N,1
W,-1
W,1
U,-1
A,1
W,-1
C,1
K,-1
P,-1
U,1
E,1
N,-1
A,-1
G,-1
X,-1
G,1
B,-1
C,1
A,-1
X,1
O,1
C,-1
G,1
Y,-1
Y,1
G,-1
E,-1
Y,-1
Y,1
V,1
U,-1
G,-1
E,1
E,-1
A,-1
V,-1
X,-1
X,1
W,-1
U,1
P,1
G,1
W,1
G,-1
W,1
G,1
B,1
O,-1
G,-1
B,-1
E,1
U,1
U,-1
V,1
X,-1
N,1
U,-1
X,1
B,-1
O,-1
X,-1
A,1
X,1
X,-1
M,1
N,-1
V,1
O,1
U,1
D,-1
O,1
G,1
Q,-1
M,-1
K,1
M,1
B,1
P,1
K,-1
B,-1
K,1
G,-1
K,-1
U,-1
K,1
D,1
B,1
L,-1
W,-1
W,1
B,1
P,-1
A,-1
G,1
B,-1
B,1
P,1
Q,1
P,-1
Q,-1
U,1
G,-1
V,-1
U,-1
T,-1
V,1
W,-1
L,1
M,-1
W,1
X,1
C,1
W,-1
B,-1
X,-1
A,1
G,1
G,-1
K,-1
V,-1
G,-1
G,1
G,-1
Y,-1
V,-1
T,1
B,-1
T,-1
K,1
T,1
T,-1
M,1
U,1
B,1
G,1
G,-1
B,1
A,1
B,-1
L,-1
C,-1
G,1
B,1
T,1
B,-1
Y,1
W,1
U,1
U,-1
T,-1
C,1
G,-1
G,1
T,1
U,-1
L,1
T,-1
L,-1
W,-1
A,-1
A,1
G,-1
G,1
Y,-1
L,1
Y,1
V,1
W,1
U,1
V,-1
A,-1
T,1
T,-1
L,-1
M,-1
W,-1
W,1
C,-1
L,1
K,-1
B,-1
U,1
T,1
C,1
K,1
M,1
W,-1
M,-1
G,1
B,1
B,1
Q,1
U,-1
G,-1
A,-1
M,1
L,-1
U,-1
G,1
M,-1
Y,-1
Q,-1
M,1
U,1
V,-1
G,-1
G,1
A,1
B,-1
C,-1
D,-1
S,1
U,1
U,-1
U,1
J,-1
C,-1
O,1
B,1
B,-1
M,1
C,1
M,-1
A,1
A,-1
K,1
Q,1
C,-1
N,-1
B,1
Q,-1
A,1
Q,1
Q,-1
M,-1
U,-1
U,-1
A,1
X,1
U,1
U,1
A,-1
D,-1
W,-1
K,1
J,-1
J,1
O,-1
X,1
Y,1
Q,-1
A,-1
Y,-1
J,-1
X,1
O,1
O,-1
N,-1
Q,-1
Q,1
K,1
K,-1
X,1
X,-1
M,1
P,-1
Z,-1
N,1
U,-1
A,-1
T,-1
R,-1
Y,1
R,1
R,-1
A,1
A,-1
W,1
Y,-1
M,-1
N,-1
K,1
X,1
S,-1
T,1
X,1
S,1
G,1
N,1
K,-1
P,1
Z,1
A,1
N,-1
K,1
P,-1
S,-1
P,-1
X,-1
Q,-1
O,-1
Y,1
V,1
O,1
M,1
X,1
J,1
R,1
M,-1
T,-1
V,-1
T,1
G,-1
R,-1
A,-1
V,1
X,1
R,1
W,-1
L,1
R,-1
Q,1
V,1
X,1
