car,move
W,-1
AK,1
P,-1
M,1
F,1
AI,-1
V,1
AD,-1
E,1
AO,-1
C,1
M,-1
AD,1
M,1
AI,1
P,1
V,-1
AA,1
P,-1
AP,1
R,1
AD,-1
E,-1
N,-1
AA,1
P,-1
R,-1
AP,-1
AO,1
C,-1
P,1
AA,-1
M,-1
N,1
R,-1
F,-1
AA,1
V,1
M,1
AA,-1
AH,-1
AK,-1
V,-1
AL,1
P,-1
AK,1
AC,1
AC,1
AO,-1
AA,1
C,1
AB,1
AD,1
M,-1
P,1
Y,-1
AO,1
H,-1
M,1
P,1
AB,-1
U,1
AO,-1
K,-1
P,-1
AP,1
M,-1
P,-1
M,1
AD,-1
U,-1
Y,1
P,1
P,1
AD,1
H,1
P,-1
AB,1
Y,-1
AG,-1
AL,-1
AQ,-1
C,-1
AJ,1
R,1
Y,1
P,-1
Y,-1
Q,-1
H,-1
AB,-1
R,1
AM,-1
AC,-1
U,1
AQ,1
K,1
AJ,-1
AD,-1
U,-1
AG,1
Y,1
AK,-1
Y,-1
P,1
AR,-1
H,1
AJ,1
P,1
AA,-1
AM,1
Y,1
AG,-1
AH,1
P,-1
X,-1
AC,-1
W,1
AD,1
R,-1
AA,-1
AG,1
R,1
AA,1
K,-1
R,-1
L,-1
P,-1
AD,-1
R,-1
P,1
M,-1
L,1
AD,1
AR,1
R,1
AC,-1
T,-1
AB,1
K,1
X,1
Q,1
X,1
AK,1
AB,-1
P,1
X,-1
AI,-1
R,-1
F,1
P,-1
N,-1
AK,-1
Q,-1
N,1
K,-1
P,1
E,1
T,-1
X,-1
AC,1
AJ,-1
AA,-1
X,1
R,1
E,-1
R,-1
AR,-1
AD,-1
AC,1
L,-1
W,-1
AA,1
Y,-1
AR,1
Q,1
AE,-1
AR,-1
J,1
Q,-1
AI,-1
Q,1
AP,-1
R,1
F,-1
AI,1
AG,-1
AP,1
J,-1
R,-1
AE,1
H,-1
C,1
AC,-1
AE,-1
U,1
C,-1
L,1
N,1
AR,1
AE,1
AI,-1
AP,-1
C,1
H,1
T,1
T,1
AD,1
AK,1
AI,-1
AK,-1
F,1
AA,-1
L,-1
AQ,-1
J,1
AQ,1
T,-1
G,1
AR,-1
AA,1
AC,-1
G,-1
T,-1
C,-1
AP,1
AG,1
R,1
AI,1
N,-1
G,1
AG,-1
AD,-1
U,-1
AB,1
AD,1
R,-1
C,1
R,1
AB,-1
P,-1
C,-1
J,-1
AI,-1
G,-1
E,1
AQ,-1
R,-1
Q,-1
AR,1
E,-1
AP,-1
AQ,-1
AA,-1
R,1
N,-1
J,1
U,1
AQ,1
AP,1
AJ,1
AK,1
P,1
R,-1
P,-1
J,-1
P,1
N,1
F,-1
AQ,1
H,-1
R,1
L,1
AC,1
AD,-1
X,-1
AC,-1
AD,1
AG,1
AJ,-1
AG,-1
AD,-1
H,1
AC,1
L,-1
AI,1
AI,1
H,-1
R,-1
AC,1
AJ,1
AA,1
R,1
H,1
F,1
T,1
AQ,-1
AJ,-1
AA,-1
AQ,1
T,-1
X,1
AQ,-1
AI,-1
T,1
N,1
P,-1
AK,-1
AQ,1
AG,1
Q,1
AK,1
AE,-1
C,1
T,-1
G,1
C,-1
AI,-1
AJ,1
J,1
N,-1
AJ,-1
U,1
T,1
U,1
AJ,1
T,1
Y,1
J,-1
C,1
N,1
W,1
J,1
AC,1
AG,-1
M,1
X,1
J,-1
AB,1
U,1
J,1
X,-1
G,1
R,1
AQ,-1
C,-1
U,-1
AI,1
Q,-1
AI,-1
AA,1
Q,1
AA,1
AJ,-1
AA,-1
X,1
AA,-1
P,1
X,-1
AB,-1
AI,1
C,1
AB,1
AQ,1
U,1
C,-1
AB,-1
G,-1
AP,-1
C,1
J,-1
U,-1
AG,1
N,-1
G,-1
J,1
F,-1
AI,1
AO,1
R,-1
U,1
N,1
U,-1
M,-1
U,1
AG,-1
X,1
AQ,-1
AB,1
J,-1
AQ,1
J,1
F,1
P,-1
F,-1
M,1
AE,1
J,1
AQ,-1
AB,-1
AD,1
AO,1
AI,-1
AC,-1
C,-1
H,-1
M,-1
J,-1
AC,1
N,1
H,1
J,-1
AO,-1
C,1
AO,-1
R,-1
M,1
N,-1
J,1
AQ,1
N,-1
F,1
E,1
M,-1
AI,1
AO,1
M,1
J,1
AQ,-1
M,-1
J,-1
E,-1
C,-1
AQ,1
C,1
AC,-1
AC,-1
N,-1
AQ,-1
AO,-1
N,1
AC,-1
T,-1
N,1
J,-1
AQ,1
