car,move
J,-1
T,-1
T,-1
J,1
U,-1
K,-1
K,-1
S,-1
T,-1
U,-1
K,1
T,-1
K,-1
T,-1
K,-1
U,1
E,1
T,1
U,-1
K,-1
E,-1
Q,-1
U,1
E,1
T,1
E,-1
S,1
T,1
U,1
S,-1
T,-1
S,-1
E,1
A,1
T,1
Q,-1
S,-1
S,-1
Q,1
U,-1
T,-1
T,-1
A,1
S,1
K,1
U,-1
T,-1
Q,1
S,1
T,1
U,1
T,1
S,1
A,-1
U,-1
K,1
T,1
K,-1
A,-1
J,-1
E,-1
T,1
K,-1
J,-1
E,1
J,1
T,-1
A,1
J,-1
E,1
U,1
A,1
E,-1
Q,-1
A,-1
S,1
A,-1
E,-1
Q,1
K,1
T,1
J,1
K,1
K,1
S,-1
U,-1
K,-1
U,1
K,-1
J,-1
S,-1
J,1
J,1
U,-1
T,-1
S,1
U,1
Q,-1
U,1
S,-1
T,-1
S,-1
U,-1
G,-1
G,-1
Q,1
G,1
U,-1
K,-1
Q,-1
N,-1
S,1
M,1
U,1
G,-1
Q,-1
U,-1
M,-1
T,-1
O,-1
G,1
K,1
S,-1
G,-1
L,1
L,1
T,-1
S,1
M,-1
T,1
K,-1
M,-1
T,1
G,1
V,-1
K,1
S,-1
M,-1
T,-1
L,-1
V,-1
T,-1
L,-1
R,-1
K,-1
S,-1
J,-1
R,-1
S,1
G,-1
O,1
U,1
N,1
L,1
J,1
K,1
U,1
T,-1
J,-1
G,-1
U,1
R,1
U,-1
N,-1
O,-1
E,1
R,1
V,1
O,1
V,-1
U,1
R,-1
A,1
V,-1
K,-1
V,1
K,-1
G,-1
L,-1
J,1
G,1
R,-1
R,-1
O,-1
J,-1
O,1
K,1
V,-1
U,1
U,1
R,1
S,-1
V,-1
K,-1
L,1
A,1
S,-1
L,-1
J,-1
R,-1
J,1
S,1
N,1
N,1
K,1
V,1
V,1
K,-1
X,-1
X,-1
A,-1
U,1
H,1
H,1
S,-1
N,1
I,-1
P,-1
N,-1
J,-1
P,-1
A,1
O,1
C,1
I,-1
H,1
H,1
I,-1
X,1
C,1
D,-1
X,1
P,-1
X,1
