car,move
W,-1
G,1
M,1
K,1
Y,-1
Q,1
Y,1
G,-1
J,1
H,1
V,1
P,1
M,-1
Y,-1
G,1
H,1
P,-1
M,-1
V,-1
U,1
Q,-1
H,1
N,-1
T,-1
J,-1
G,-1
T,1
Q,1
N,1
X,1
W,-1
Q,-1
T,-1
V,-1
T,-1
J,1
U,1
D,1
G,1
U,-1
D,-1
T,1
Y,1
N,-1
U,1
C,-1
N,-1
O,-1
H,-1
T,-1
O,-1
K,1
T,1
J,1
T,1
H,1
U,-1
X,1
Q,-1
H,-1
K,-1
U,1
T,-1
J,-1
R,-1
O,1
T,-1
P,-1
O,-1
Q,-1
P,1
T,1
Q,-1
K,1
I,-1
X,-1
O,1
X,1
L,-1
T,1
L,1
X,-1
O,-1
Y,-1
R,1
Y,1
L,-1
V,-1
R,-1
N,1
Y,-1
V,-1
J,1
R,1
V,1
U,-1
S,1
Y,1
N,-1
L,-1
X,1
L,1
W,1
U,1
R,-1
W,1
K,1
R,1
K,1
G,1
Q,1
U,-1
P,-1
J,-1
P,-1
V,-1
W,-1
P,1
W,1
T,-1
V,1
Q,1
I,1
O,1
H,1
U,1
T,1
H,-1
W,-1
O,-1
P,-1
Q,1
Y,-1
X,-1
Y,1
P,1
H,1
J,-1
W,1
P,-1
W,-1
X,1
X,1
G,-1
X,1
M,1
X,-1
U,-1
T,-1
U,1
M,-1
W,1
M,1
P,1
X,1
X,1
Z,-1
X,1
M,-1
N,1
K,1
Q,-1
P,1
K,-1
Z,-1
P,-1
X,-1
Q,1
U,-1
N,-1
P,1
T,1
Z,1
Y,1
Z,-1
W,-1
Q,-1
W,1
Y,-1
U,1
K,-1
Q,1
Z,1
K,1
K,1
J,1
Q,1
M,1
X,1
N,1
P,-1
J,-1
U,-1
S,-1
X,-1
P,1
N,-1
Q,-1
Y,1
J,1
H,-1
Q,-1
N,1
P,-1
U,1
M,-1
H,1
U,-1
H,-1
I,-1
C,1
R,-1
Q,-1
G,1
T,-1
C,-1
I,1
G,-1
Q,1
S,1
R,1
G,1
K,-1
M,1
N,-1
I,-1
Y,-1
Q,1
N,1
I,1
Z,1
G,1
C,1
I,-1
P,1
V,-1
K,1
M,-1
P,-1
O,1
K,-1
C,-1
V,-1
Q,-1
X,1
X,1
