car,move
V,1
W,-1
Q,1
I,-1
M,1
P,1
K,1
O,1
M,-1
Y,-1
O,-1
J,1
Y,1
Q,-1
H,1
P,-1
M,-1
K,-1
Y,-1
G,1
K,1
M,1
Y,1
I,1
V,-1
M,1
V,-1
C,-1
K,-1
M,-1
T,-1
I,-1
T,1
C,1
Y,-1
M,-1
Y,1
X,1
G,1
K,1
U,1
G,-1
C,-1
W,-1
H,1
N,-1
N,-1
T,-1
U,1
Y,-1
I,1
X,1
O,-1
K,1
L,-1
O,-1
H,1
D,1
L,1
X,-1
D,-1
L,-1
Y,1
W,1
Z,-1
V,-1
T,1
Z,1
S,1
U,-1
Q,1
W,-1
K,1
J,-1
Y,-1
Q,-1
X,1
U,-1
Q,-1
X,1
T,-1
W,1
X,1
U,1
X,1
X,1
O,1
K,-1
S,-1
V,1
V,1
X,1
