car,move
J,1
AB,-1
H,1
AL,-1
P,1
H,-1
AQ,-1
AL,1
P,-1
AC,-1
G,-1
O,1
AJ,-1
F,1
O,-1
H,1
AH,1
F,-1
AJ,1
G,1
P,1
AC,1
AJ,-1
O,1
P,1
AA,-1
AH,-1
AA,-1
AC,-1
AC,-1
AA,1
O,-1
AC,-1
AB,1
AP,-1
AB,-1
AA,-1
AQ,-1
H,-1
P,-1
G,-1
AK,-1
AR,-1
N,-1
AL,-1
AF,-1
AB,1
AG,-1
J,1
AP,-1
AA,1
AM,-1
AP,1
AG,1
AR,1
H,1
J,-1
AF,1
AK,1
AA,-1
J,-1
AF,-1
AA,1
AE,1
AM,1
AA,-1
M,1
AK,-1
AO,1
AO,1
AR,-1
L,1
AL,1
AE,-1
L,-1
AO,-1
AN,-1
M,-1
AH,1
L,1
U,-1
L,-1
AL,-1
AQ,1
AE,-1
AO,-1
U,1
AL,1
AP,1
U,-1
AJ,1
P,1
AB,-1
AQ,1
AA,1
AO,-1
AE,1
AO,1
AQ,-1
AO,-1
H,-1
AA,-1
AR,1
AB,1
L,1
AJ,-1
AK,1
AA,1
AQ,-1
AJ,1
AB,-1
K,1
AQ,1
AQ,1
AA,-1
AG,1
AC,1
AJ,-1
AO,1
AP,-1
K,-1
AC,1
L,-1
J,1
AE,-1
U,1
M,1
AP,1
AM,1
AL,1
P,-1
AG,-1
M,-1
N,1
AC,1
J,-1
G,1
AQ,-1
J,1
J,1
AC,-1
AJ,1
AC,-1
G,-1
J,1
L,1
AC,1
K,1
AE,1
K,-1
AL,-1
AE,-1
AK,-1
AA,1
G,1
AM,-1
H,1
AA,1
AL,-1
AE,1
AR,-1
AH,1
AR,1
AM,1
G,-1
P,-1
H,-1
AH,-1
AC,-1
AR,-1
AQ,1
AG,1
K,1
AH,1
P,1
AJ,-1
AP,-1
AI,-1
AA,-1
G,1
AA,1
AG,-1
P,-1
AI,1
H,1
AE,-1
P,1
AA,-1
AE,1
G,-1
AA,-1
AH,-1
AO,1
AA,1
AM,1
AQ,-1
AC,1
P,-1
AD,1
K,-1
AR,1
F,1
AO,1
AC,-1
AR,-1
H,-1
AO,-1
AM,-1
F,-1
N,-1
AD,-1
AC,-1
AO,-1
N,1
AH,1
AQ,-1
AC,1
AM,-1
AR,1
H,1
AE,-1
AI,-1
AP,1
P,1
N,-1
AN,1
AF,1
AQ,1
M,1
H,-1
AQ,1
M,-1
AK,1
AF,-1
AK,-1
AA,1
AQ,-1
AF,1
AA,-1
AJ,1
L,-1
H,1
M,1
AQ,-1
O,1
AI,1
AA,-1
AI,-1
O,-1
AR,-1
H,-1
AI,-1
M,-1
AR,1
L,1
AQ,1
O,1
AC,1
L,-1
H,-1
M,1
AA,1
AE,1
P,-1
AA,1
AD,1
AC,-1
AK,1
AI,-1
L,1
K,1
H,1
O,-1
AI,1
AC,1
AF,-1
AK,-1
AI,-1
AG,-1
K,-1
AD,-1
AR,-1
AA,-1
AG,1
H,1
AQ,1
AF,1
AA,1
P,1
AQ,-1
P,-1
O,1
AC,-1
AA,-1
D,1
H,-1
AR,1
H,1
AE,-1
AQ,1
AK,1
H,-1
D,-1
AC,1
M,-1
D,1
AC,-1
AJ,-1
AE,1
H,1
AC,1
AC,1
H,-1
L,-1
AA,1
AD,1
J,-1
P,1
AJ,1
N,1
H,1
AG,1
H,-1
J,1
AA,-1
G,1
AC,-1
AJ,-1
AA,1
AP,-1
AK,-1
AD,-1
AC,-1
H,1
D,-1
G,-1
AK,1
G,1
J,-1
P,-1
AI,1
AE,-1
G,-1
O,-1
AE,1
G,1
AD,1
AO,1
AA,1
J,1
AI,1
O,1
D,1
J,-1
AI,1
AK,-1
AH,-1
P,1
AD,-1
AA,-1
AE,-1
D,-1
O,-1
AK,1
G,-1
H,-1
J,1
AC,1
AO,-1
AH,1
L,1
AA,1
L,-1
AI,-1
H,1
N,-1
L,1
AO,1
AE,1
H,-1
P,-1
AC,-1
AD,1
AI,1
N,1
AF,-1
H,1
L,-1
AF,1
AC,1
AA,-1
L,1
AC,1
AH,-1
AC,-1
AA,-1
AD,-1
O,1
N,-1
AG,-1
AC,-1
U,-1
AA,1
AM,-1
O,-1
K,1
H,-1
AH,-1
U,1
H,1
AO,-1
M,1
H,-1
O,1
AK,-1
AR,-1
AH,1
AG,1
M,-1
O,-1
AC,1
AM,1
AH,-1
AR,1
AC,-1
AK,1
K,-1
AG,-1
AF,-1
L,-1
AE,1
AO,1
AL,1
L,1
AE,-1
AA,-1
AC,-1
AK,-1
AQ,-1
AE,1
K,1
AR,-1
W,1
AO,-1
K,-1
AQ,1
W,-1
AL,-1
AG,1
W,1
AE,1
AC,1
P,1
K,1
W,-1
P,-1
AC,1
AP,1
U,-1
AM,-1
AP,-1
AE,-1
AO,1
H,1
AH,1
K,-1
AA,1
AG,-1
U,1
N,1
H,-1
K,1
AD,1
AA,-1
N,-1
W,1
K,-1
U,-1
AM,1
P,1
AO,-1
AM,-1
L,-1
AP,1
S,1
AG,1
Q,1
P,-1
Q,-1
S,-1
AP,-1
S,1
AO,1
AM,1
AG,-1
AH,1
S,-1
W,-1
AD,-1
L,1
AO,-1
AA,1
P,1
AG,1
K,1
AC,-1
AE,1
AD,1
W,1
H,1
K,-1
AH,-1
AR,1
AD,-1
AA,-1
AE,-1
AG,-1
L,-1
U,1
AP,1
AA,1
AL,1
S,1
AR,-1
AA,-1
AH,-1
AQ,-1
AH,1
AR,1
L,1
AA,1
AQ,-1
AK,1
N,1
AJ,1
AQ,1
G,1
AK,-1
S,-1
AA,-1
AH,-1
AC,-1
K,1
G,-1
AQ,-1
AR,-1
S,1
AL,-1
G,1
AJ,-1
AR,1
H,-1
S,-1
AH,1
AC,1
S,1
AA,-1
AH,-1
AA,-1
AL,1
AA,1
Q,1
AJ,1
K,-1
AC,-1
AR,-1
AJ,-1
H,1
AH,1
L,-1
AH,-1
AR,1
AL,-1
AR,-1
H,-1
Q,-1
AC,1
AP,-1
AO,1
S,-1
AQ,1
AR,1
AQ,-1
L,1
S,1
K,1
S,-1
AK,1
AM,-1
AO,-1
AH,1
AM,1
AL,1
AD,1
AL,-1
AA,1
AL,1
AO,1
AA,1
AL,-1
AQ,1
AD,-1
P,-1
G,-1
AK,-1
AL,1
H,1
AC,1
AL,-1
AH,-1
AC,-1
K,-1
AQ,1
AC,1
AA,-1
AL,1
AQ,-1
S,1
G,1
AC,-1
AK,1
AH,1
Q,1
L,-1
AA,1
AL,-1
G,-1
N,-1
M,1
AC,1
M,-1
AM,-1
U,-1
J,-1
J,-1
AC,1
AM,1
AA,-1
AC,-1
J,1
AK,-1
AQ,1
P,1
AH,1
H,-1
AI,-1
U,1
N,1
AC,-1
G,1
AA,1
AO,-1
G,-1
F,1
AR,-1
J,-1
AP,1
F,-1
J,-1
H,1
N,-1
AI,-1
AG,1
AR,1
AD,1
AJ,1
AI,1
P,1
AA,1
AJ,-1
Q,-1
L,1
AJ,1
AA,1
S,-1
H,-1
AC,1
P,-1
AI,1
AH,-1
K,1
W,-1
U,-1
H,1
U,1
K,-1
AA,-1
AR,-1
AH,1
H,-1
N,1
AH,-1
AA,-1
W,1
P,-1
AC,-1
K,1
H,1
AE,1
N,-1
AR,1
AM,-1
AJ,-1
AA,-1
AM,1
AE,-1
AC,-1
AJ,1
K,-1
AJ,-1
S,1
AE,1
P,1
AA,-1
M,1
K,1
M,-1
U,-1
AC,1
AA,1
U,1
N,1
P,-1
AP,-1
AM,-1
AO,1
N,-1
P,1
AD,-1
AK,1
AE,-1
AH,-1
AO,-1
H,-1
S,-1
AA,1
AO,1
N,1
AE,1
AC,1
P,1
W,-1
AM,1
AH,1
N,-1
AO,-1
AC,-1
M,1
AC,1
AH,-1
M,-1
AA,-1
U,-1
AK,-1
AA,-1
AH,1
AA,-1
AC,-1
H,1
AA,1
AL,1
W,1
AC,-1
S,1
U,1
Q,1
U,-1
AK,1
AA,1
H,-1
AP,1
AA,-1
AD,1
AA,-1
P,-1
AE,-1
AK,-1
AR,-1
AC,1
AR,1
H,1
AD,-1
AP,-1
AC,1
AK,1
AC,1
H,-1
AO,1
P,1
Q,-1
AA,1
AO,-1
AP,1
AG,-1
P,-1
AH,-1
K,-1
AJ,1
AL,-1
AM,-1
AA,1
AA,1
AC,-1
AA,-1
U,1
L,-1
P,-1
S,-1
N,1
W,-1
G,1
H,1
AG,1
AK,-1
AM,1
G,-1
AH,1
AA,1
AL,1
J,1
AE,1
N,-1
W,1
S,1
U,-1
AL,-1
AM,-1
U,1
S,-1
AC,-1
J,-1
AD,1
AR,-1
AJ,-1
S,1
M,1
AC,1
AE,-1
AJ,1
H,-1
AA,-1
AR,1
AK,1
S,-1
AM,1
AL,1
AC,1
S,1
AA,1
P,1
J,1
J,1
AA,1
AB,1
AA,1
P,-1
H,1
P,1
Q,1
P,-1
J,1
L,1
K,1
P,1
AB,-1
AD,-1
AA,1
M,-1
AG,-1
N,1
AL,-1
AC,-1
N,-1
AC,-1
AD,1
AC,-1
P,-1
Q,-1
AG,1
M,1
AB,1
AD,-1
M,-1
AB,-1
Q,1
AC,1
P,1
AA,-1
AK,-1
AR,-1
U,-1
AL,1
AH,-1
K,-1
AH,1
AR,1
AC,1
AL,-1
AD,1
AM,-1
AA,1
L,-1
P,-1
AM,1
H,-1
P,1
AD,-1
AE,1
P,-1
AH,1
AI,-1
AE,-1
U,1
AR,-1
AD,1
P,1
M,1
AD,-1
AC,-1
J,-1
AG,-1
AR,1
J,-1
AC,1
P,-1
M,-1
AC,-1
AK,1
U,-1
AG,1
AA,-1
Q,-1
AK,-1
AR,-1
AA,-1
AI,1
J,1
J,1
AH,-1
J,-1
U,1
AM,-1
U,-1
S,-1
AD,1
H,1
AJ,-1
S,1
U,1
M,1
AJ,1
S,-1
AA,-1
AM,1
AR,1
AH,1
AR,-1
AC,1
M,-1
AJ,-1
AH,-1
AR,1
AA,1
M,1
AP,-1
AK,1
AC,-1
M,-1
AA,-1
AO,1
J,1
AH,1
M,1
AI,-1
S,1
P,1
AI,-1
AA,-1
AA,-1
AC,-1
M,-1
S,-1
AI,-1
M,1
W,1
AA,1
W,1
AA,-1
AE,-1
J,-1
H,-1
AN,-1
J,-1
AD,-1
AB,1
Y,-1
J,-1
AG,-1
U,1
L,1
U,-1
H,1
AB,-1
AQ,-1
AE,-1
M,-1
AM,1
H,-1
W,1
U,1
S,1
L,-1
AK,-1
N,1
AI,1
G,1
AC,1
AC,1
AK,1
AO,1
AK,-1
G,-1
N,-1
U,-1
N,1
L,1
AM,1
K,1
AM,1
AA,1
AC,-1
AR,-1
AI,-1
W,-1
N,-1
M,1
W,1
Q,1
Y,1
