car,move
AL,-1
L,1
AB,-1
AM,-1
AJ,-1
AM,1
AA,-1
P,1
AL,1
G,-1
L,-1
O,1
N,-1
AA,-1
AG,1
AA,1
J,1
AA,1
D,1
J,-1
AJ,1
AL,-1
P,1
H,1
AA,1
N,1
G,1
AH,1
J,1
A,-1
AL,1
P,-1
B,-1
P,-1
J,-1
AD,1
A,-1
J,-1
B,-1
AB,1
I,-1
H,-1
L,1
A,-1
B,-1
AD,-1
AJ,-1
K,1
AJ,1
AD,1
AJ,-1
AP,-1
H,1
P,1
H,1
AO,1
AA,-1
H,1
P,-1
H,-1
AG,-1
H,-1
AB,-1
I,1
AG,1
AD,-1
AE,-1
P,1
AB,1
J,1
H,-1
K,-1
J,-1
A,-1
I,-1
A,1
AO,-1
P,-1
AG,-1
AP,1
I,1
AB,-1
AA,-1
AC,-1
L,-1
AA,1
AL,-1
B,1
L,1
P,1
A,-1
AE,1
AC,1
J,1
AJ,1
AM,-1
H,1
B,-1
J,-1
AJ,-1
A,1
I,-1
AP,-1
AH,-1
AQ,-1
K,1
A,-1
K,-1
B,-1
AO,1
L,-1
AB,1
AH,1
AA,-1
P,-1
B,1
B,1
AE,-1
AO,-1
P,1
H,-1
L,1
H,1
AP,1
K,1
AJ,1
AB,-1
K,-1
AC,-1
D,-1
H,-1
H,-1
AJ,-1
J,1
I,1
H,1
I,-1
O,-1
AQ,1
A,-1
A,-1
AC,-1
AA,-1
AM,1
AG,1
AP,-1
I,1
O,1
P,1
AO,1
H,-1
AH,1
H,1
AI,-1
B,1
AG,-1
AC,-1
P,-1
H,-1
AG,1
AK,-1
B,-1
AI,-1
I,-1
H,1
K,1
AA,-1
H,-1
AK,1
H,1
B,-1
AE,1
AI,1
AD,1
AI,-1
A,1
AI,-1
O,-1
H,1
AA,1
AG,-1
AI,1
O,1
B,1
AI,-1
J,-1
P,1
AG,1
AI,1
I,1
AG,-1
AA,1
D,1
A,-1
AB,1
AK,-1
J,1
H,-1
AK,1
J,-1
AG,1
A,1
K,-1
AG,-1
L,-1
AB,-1
AO,-1
AQ,-1
D,-1
I,-1
G,-1
B,-1
AI,1
AD,-1
AQ,1
AC,1
G,1
A,-1
AK,-1
AQ,-1
AR,-1
AC,1
B,1
AD,1
A,1
H,1
AO,1
A,-1
AO,1
AD,-1
I,1
AO,1
D,1
AC,-1
G,-1
AA,-1
F,1
AE,-1
P,-1
E,1
C,1
D,-1
AI,-1
I,-1
AQ,-1
AP,1
B,-1
F,1
AQ,1
AE,1
P,1
E,1
AA,1
AJ,1
AA,-1
AC,1
F,1
L,1
AD,1
E,1
A,-1
I,1
AI,-1
R,-1
A,1
L,-1
J,1
J,1
R,-1
P,-1
R,1
J,1
AI,1
A,-1
J,1
A,1
A,1
I,-1
B,1
AA,1
C,-1
AJ,-1
A,-1
X,-1
AD,-1
AJ,1
B,-1
AE,-1
W,-1
AA,-1
AE,1
A,1
V,1
AI,1
E,-1
AI,1
N,-1
AE,-1
N,1
J,-1
AE,1
C,1
AA,1
AC,-1
N,-1
AE,-1
J,1
AC,-1
AH,-1
B,1
AE,1
AA,-1
AM,-1
H,1
AB,1
AJ,-1
H,-1
C,-1
AH,-1
H,1
AH,1
M,1
AJ,1
AB,-1
AA,1
J,-1
AM,1
R,-1
AH,-1
AM,-1
M,-1
AH,1
C,1
R,1
AC,1
H,-1
AA,-1
U,-1
AC,-1
U,1
B,-1
N,1
F,-1
AM,1
C,-1
AH,-1
R,-1
F,1
N,-1
H,1
AA,1
AC,1
A,-1
U,-1
AA,-1
V,-1
AC,1
J,1
W,1
C,1
AM,-1
W,-1
Y,-1
H,1
C,-1
R,1
U,1
U,1
N,1
A,1
N,1
E,1
AH,1
C,1
L,1
E,-1
B,1
AJ,-1
K,1
AE,-1
B,-1
F,-1
AM,1
AL,1
C,-1
B,1
AJ,1
Q,-1
B,-1
R,-1
K,-1
U,1
L,-1
AC,-1
AQ,-1
B,1
A,-1
AA,1
R,1
H,-1
H,-1
N,1
I,1
J,-1
H,-1
P,-1
N,-1
AQ,1
A,1
I,-1
X,-1
AC,-1
N,1
P,1
AQ,-1
AL,-1
J,-1
AH,1
X,1
AH,-1
AC,1
AA,-1
P,1
M,1
AJ,-1
AQ,1
M,-1
AP,-1
J,-1
M,1
AA,1
AH,1
AA,1
B,-1
H,1
AC,1
AI,-1
R,-1
AI,-1
H,1
R,1
H,-1
J,1
H,-1
AA,-1
P,-1
H,1
J,-1
H,-1
A,-1
AA,1
U,1
J,-1
R,-1
P,1
R,1
Q,1
N,1
C,1
J,1
P,-1
R,-1
U,1
N,-1
A,-1
AI,-1
Y,1
L,1
AC,-1
AE,1
AA,-1
A,1
P,-1
J,-1
AI,1
AD,1
A,1
Y,-1
AI,1
C,-1
J,1
Y,1
AP,1
I,1
AQ,-1
J,-1
AJ,1
H,1
R,-1
Y,-1
AD,-1
Q,-1
AI,-1
F,1
Y,1
AE,-1
AA,1
Q,1
AE,1
AI,1
AQ,1
W,1
M,-1
L,-1
AQ,-1
P,1
L,1
AJ,-1
AP,-1
AI,-1
B,1
C,1
AE,-1
L,-1
AI,-1
AP,1
P,-1
X,1
M,1
AE,1
F,-1
M,-1
X,-1
B,-1
AP,-1
J,1
N,-1
H,-1
W,-1
AO,-1
AA,-1
J,-1
H,1
AA,1
AD,1
C,-1
M,-1
AA,-1
V,1
F,1
E,1
R,1
C,1
L,1
B,1
J,1
AO,-1
T,-1
K,1
I,-1
A,-1
AO,1
AC,-1
N,-1
T,1
AD,-1
AR,1
T,-1
A,1
AI,1
K,-1
P,1
J,-1
AC,1
J,1
V,-1
T,-1
L,-1
P,1
AO,-1
H,1
J,-1
W,1
X,1
H,-1
E,-1
F,-1
AR,-1
P,-1
AC,-1
N,1
AI,-1
X,1
R,-1
AO,-1
N,1
H,1
AQ,1
X,-1
L,1
AC,1
C,-1
AP,1
C,1
AI,1
AC,1
C,-1
AI,1
J,1
R,1
P,1
C,1
R,-1
H,-1
F,1
P,-1
X,1
B,-1
J,-1
AD,1
F,-1
B,1
AC,-1
F,1
AQ,1
E,1
AJ,1
P,1
AA,1
AC,1
AD,-1
AA,-1
AR,1
J,1
K,1
X,-1
AA,-1
AQ,-1
N,-1
P,-1
H,1
R,1
X,1
AR,-1
AD,1
B,-1
AD,-1
AA,1
B,1
AJ,-1
AE,-1
R,-1
B,-1
AC,-1
AA,-1
N,-1
F,1
AA,1
AC,-1
AP,-1
AQ,-1
AC,1
J,-1
AA,-1
K,-1
AO,1
AR,1
X,1
C,-1
AO,-1
R,1
AA,1
AK,1
L,-1
E,-1
AA,-1
O,-1
X,1
C,1
AO,1
AO,1
H,1
AE,1
E,1
AD,1
C,-1
T,1
AQ,1
P,1
A,-1
AD,-1
AE,-1
W,-1
AO,-1
P,-1
AE,1
Q,-1
P,1
T,1
W,1
AO,-1
AA,1
AD,1
B,1
AO,1
AQ,-1
L,1
B,-1
AC,-1
AO,-1
T,-1
E,-1
L,-1
T,-1
E,1
AI,-1
AD,-1
L,1
AB,1
A,1
AK,-1
T,1
E,-1
K,1
W,-1
AK,1
R,-1
B,1
AA,-1
E,1
AA,-1
B,-1
X,1
X,1
B,1
H,-1
V,1
X,1
AP,1
H,1
AJ,1
X,1
X,1
