car,move
Q,1
V,-1
H,-1
V,1
J,1
N,-1
Q,-1
V,-1
N,1
I,-1
M,1
T,-1
J,-1
G,1
H,1
J,1
U,1
T,1
U,1
C,-1
M,-1
H,1
M,-1
T,-1
U,-1
V,1
X,1
U,-1
T,1
V,-1
K,1
V,1
T,-1
X,-1
I,1
C,1
H,1
H,1
V,-1
U,1
H,-1
T,1
X,1
H,1
J,-1
N,-1
W,-1
C,-1
N,-1
T,-1
J,1
W,1
O,-1
O,-1
N,1
Z,-1
J,-1
Z,-1
T,1
N,-1
G,1
T,1
V,1
K,1
X,1
V,1
W,-1
L,-1
T,1
Y,1
V,-1
W,1
X,-1
G,-1
X,1
V,-1
T,-1
G,1
V,-1
S,1
U,1
W,-1
T,-1
Z,1
X,1
K,1
Y,-1
X,1
Q,1
X,1
X,1
K,-1
Q,-1
S,-1
U,-1
V,1
V,1
X,1
